problem_id,year,code,question,title,statement,methods,source_type,solution_path,result_path,report_path,artifact_path
2015-D,2015,D,q04,20 页报告、模型优缺点与 ICM 投资建议,"Write a 20-page report that explains your model, sustainability measure, sustainable development plan, and the effect of your plan based on the model and country's environment. Detail the strengths and weaknesses of the model.",把官方题面、World Bank 数据、指数定义、20 年计划、项目效率排序和模型限制整理为 ICM 可读报告，强调项目效果不是因果估计。对应模型：实验报告、政策备忘录、模型限制说明。,official_pdf_and_world_bank_csv,question_solutions/2015/D/q04/solution.py,question_results/2015/D/q04/result.json,question_reports/2015/D/q04/report.md,question_artifacts/2015/D/q04/sustainability_projection.png
2016-A,2016,A,q01,浴缸水温空间-时间模型与加热水策略,Develop a model of the temperature of the bathtub water in space and time to determine the best strategy the person in the bathtub can adopt to keep the temperature even throughout the bathtub and as close as possible to the initial temperature without wasting too much water.,只使用官方题面物理约束，建立一维有限体积浴缸温度模型：热水从水龙头端进入，溢流端排出，水面/缸壁/人体散热，邻近单元混合。对应模型：热传导方程、对流-扩散模型、有限体积法、多目标优化。,official_statement_parameters,question_solutions/2016/A/q01/solution.py,question_results/2016/A/q01/result.json,question_reports/2016/A/q01/report.md,question_artifacts/2016/A/q01/temperature_strategy_grid.csv
2016-A,2016,A,q02,浴缸形状、体积、人体和动作敏感性,"Use your model to determine the extent to which your strategy depends upon the shape and volume of the tub, the shape/volume/temperature of the person in the bathtub, and the motions made by the person in the bathtub.",固定推荐流量，比较短深、基准、长浅浴缸，以及静止、轻柔动作、主动搅动的温度误差和空间温差；人体体积/温度作为显式假设。对应模型：参数扫描、几何尺度分析、混合强度模型、敏感性分析。,official_statement_parameters,question_solutions/2016/A/q02/solution.py,question_results/2016/A/q02/result.json,question_reports/2016/A/q02/report.md,question_artifacts/2016/A/q02/tub_shape_sensitivity.csv
2016-A,2016,A,q03,泡泡浴添加剂对结果的影响,"If the person used a bubble bath additive while initially filling the bathtub to assist in cleansing, how would this affect your model's results?",把泡泡浴作为表面热阻/隔热因子，比较无泡沫、薄泡沫、中等泡沫和厚泡沫下的温度误差、空间温差和 comfort score。对应模型：边界热阻模型、情景分析、表面散热修正。,official_statement_parameters,question_solutions/2016/A/q03/solution.py,question_results/2016/A/q03/result.json,question_reports/2016/A/q03/report.md,question_artifacts/2016/A/q03/bubble_bath_sensitivity.csv
2016-A,2016,A,q04,给浴缸用户的一页非技术说明,Include a one-page non-technical explanation for users of the bathtub that describes your strategy while explaining why it is so difficult to get an evenly maintained temperature throughout the bath water.,把推荐流量、动作建议、热水入口/溢流出口导致的冷热不均、泡沫保温作用和浪费水权衡写成用户可读说明。对应模型：非技术解释、策略说明、模型限制说明。,official_statement_parameters,question_solutions/2016/A/q04/solution.py,question_results/2016/A/q04/result.json,question_reports/2016/A/q04/report.md,question_artifacts/2016/A/q04/temperature_profiles.png
2016-B,2016,B,q01,时间相关商业机会模型,Develop a time-dependent model to determine the best alternative or combination of alternatives that a private firm could adopt as a commercial opportunity to address the space debris problem.,"只使用官方题面中的 500,000+ tracked debris、2009 Kosmos/Iridium collision 和候选技术，构建 10 年 NPV、风险调整得分和碰撞风险降低代理指标。对应模型：项目净现值、风险收益模型、商业可行性评分。",official_statement_parameters,question_solutions/2016/B/q01/solution.py,question_results/2016/B/q01/result.json,question_reports/2016/B/q01/report.md,question_artifacts/2016/B/q01/alternative_scores.csv
2016-B,2016,B,q02,成本、风险、收益与重要因素估计,"Your model should include quantitative and/or qualitative estimates of costs, risks, benefits, as well as other important factors.",对 water jets、high energy lasers、sweeper satellites、tracking subscription 逐项估计 capex、opex、revenue、10 年移除数量、技术风险、监管风险和 scalability。对应模型：多指标综合评价、成本效益分析、风险矩阵。,official_statement_parameters,question_solutions/2016/B/q02/solution.py,question_results/2016/B/q02/result.json,question_reports/2016/B/q02/report.md,question_artifacts/2016/B/q02/alternative_scores.csv
2016-B,2016,B,q03,独立方案、组合方案与 what-if 情景,Your model should be able to assess independent alternatives as well as combinations of alternatives and be able to explore a variety of important what-if scenarios.,枚举两项/三项组合并加入集成成本和协同收益；对 debris 翻倍、市场变弱、监管支持激光、主动移除成本下降做情景压力测试。对应模型：组合优化、情景分析、敏感性分析。,official_statement_parameters,question_solutions/2016/B/q03/solution.py,question_results/2016/B/q03/result.json,question_reports/2016/B/q03/report.md,question_artifacts/2016/B/q03/combination_scores.csv
2016-B,2016,B,q04,商业建议与两页执行摘要,"Determine whether an economically attractive opportunity exists. If viable, compare options and recommend how debris should be removed; otherwise provide innovative alternatives for avoiding collisions. Include a two-page executive summary for non-technical decision makers and media analysts.",把最佳独立/组合候选、what-if 结果和 staged business model 写成给政策制定者与媒体分析师的非技术执行摘要。对应模型：执行摘要、政策建议、模型限制说明。,official_statement_parameters,question_solutions/2016/B/q04/solution.py,question_results/2016/B/q04/result.json,question_reports/2016/B/q04/report.md,question_artifacts/2016/B/q04/debris_strategy_frontier.png
2016-D,2016,D,q01,信息流与新闻筛选模型,Develop one or more model(s) that allow(s) you to explore the flow of information and filter or find what qualifies as news.,只使用官方题面给出的五个传播时期，构造 media access、transmission speed、network connectivity、gatekeeping filter 和 channel capacity 的显式时代参数；用加权 news score 判断 presidential assassination、war news、celebrity rumor、local storm、viral video 是否达到新闻阈值。对应模型：信息扩散、新闻价值评分、多指标综合评价、阈值分类。,official_statement_parameters,question_solutions/2016/D/q01/solution.py,question_results/2016/D/q01/result.json,question_reports/2016/D/q01/report.md,question_artifacts/2016/D/q01/era_parameters.csv
2016-D,2016,D,q02,历史事件到今日传播的结构验证,Validate your model's reliability by using data from the past and the prediction capability of your model to predict the information communication situation for today and compare that with today's reality.,对官方题面点名的 Taylor Swift 传闻、今日重要人物遇刺、Lincoln 遇刺做确定性扩散曲线比较；验证模型是否重现从电报/报纸/火车时代到智能手机时代的 24 小时 awareness 数量级跃迁。对应模型：指数扩散、历史结构验证、情景对比。,official_statement_parameters,question_solutions/2016/D/q02/solution.py,question_results/2016/D/q02/result.json,question_reports/2016/D/q02/report.md,question_artifacts/2016/D/q02/diffusion_comparison.csv
2016-D,2016,D,q03,2050 通信网络关系与容量预测,Use your model to predict the communication networks' relationships and capacities around the year 2050.,将五个官方时期的 channel capacity 指数做保守 log-linear 外推，并给出 human-to-human、human-to-platform、machine-to-machine、local-to-global 四类关系变化。对应模型：趋势外推、技术扩散、容量预测、网络关系图谱。,official_statement_parameters,question_solutions/2016/D/q03/solution.py,question_results/2016/D/q03/result.json,question_reports/2016/D/q03/report.md,question_artifacts/2016/D/q03/communication_capacity_2050.csv
2016-D,2016,D,q04,公众兴趣与观点影响模型,Use the theories and concepts of information influence on networks to model how public interest and opinion can be changed through information networks in today's connected world.,用 DeGroot 风格一阶观点更新，把 information value、source credibility、initial bias、message form 和 network strength 转成 persuasion index 与 final support share，比较公共卫生警告、低可信党派声明、名人传闻、官方本地灾害信息、科学纠错等情景。对应模型：观点动力学、DeGroot 模型、阈值说服、情景仿真。,official_statement_parameters,question_solutions/2016/D/q04/solution.py,question_results/2016/D/q04/result.json,question_reports/2016/D/q04/report.md,question_artifacts/2016/D/q04/opinion_influence_scenarios.csv
2016-D,2016,D,q05,信息价值、偏见、来源和拓扑强度敏感性,"Determine how information value, people's initial opinion and bias, form of the message or its source, and the topology or strength of the information network in a region, country, or worldwide could be used to spread information and influence public opinion.",在同一观点影响公式上做 one-at-a-time 敏感性分析，识别 information value、source credibility、initial bias、message form、network strength 中最能改变传播和观点结果的因素。对应模型：敏感性分析、影响因子排序、舆论传播策略设计。,official_statement_parameters,question_solutions/2016/D/q05/solution.py,question_results/2016/D/q05/result.json,question_reports/2016/D/q05/report.md,question_artifacts/2016/D/q05/factor_sensitivity.csv
2016-F,2016,F,q01,难民危机指标体系,Determine the specific factors which can either enable or inhibit the safe and efficient movement of refugees.,"只使用官方题面中的 715,000+ 庇护申请、Hungary 1,450/100k、2014 年 32% 批准率和六条路线，构造可启用/抑制安全高效流动的因素列表与 route/resource/capacity 指标。对应模型：指标体系、多指标综合评价、容量约束建模。",official_statement_parameters,question_solutions/2016/F/q01/solution.py,question_results/2016/F/q01/result.json,question_reports/2016/F/q01/report.md,question_artifacts/2016/F/q01/route_parameters.csv
2016-F,2016,F,q02,六条路线容量约束难民流动模型,"Create a model of optimal refugee movement that would incorporate projected flows of refugees across the six travel routes mentioned in the problem, with consideration of transportation routes/accessibility, safety of route and countries' resource capacities.",对 West/Central/Eastern Mediterranean、West Balkans、Eastern Borders、Albania to Greece 六条官方路线建立安全性、可达性、临时容量和日处理能力参数；按吸引力和容量进行整数分配，容量不足时显式记录 emergency overflow。对应模型：网络流、容量约束分配、整数流量分配、瓶颈分析。,official_statement_parameters,question_solutions/2016/F/q02/solution.py,question_results/2016/F/q02/result.json,question_reports/2016/F/q02/report.md,question_artifacts/2016/F/q02/route_flow_plan.csv
2016-F,2016,F,q03,动态容量、资源前置与资源优先级,What resources can be prepositioned and how should they be allocated in light of these dynamics? What resources need priority and how do you incorporate resource availability and flow in your model?,把 shelter、healthcare、water、food 作为每千名难民的资源包，比较需求、政府可用量和 NGO 加成后的缺口，按 weighted unmet need 识别优先资源和前置行动。对应模型：系统动力学、资源配置、库存-流量模型、优先级排序。,official_statement_parameters,question_solutions/2016/F/q03/solution.py,question_results/2016/F/q03/result.json,question_reports/2016/F/q03/report.md,question_artifacts/2016/F/q03/resource_prepositioning.csv
2016-F,2016,F,q04,政府与 NGO 协同策略,How does the inclusion of NGO's change your model and strategy?,比较 government-only 和 with-NGO 两种资源策略的 unmet need；NGO 不改变法律准入，但增加移动医疗、水、食物和临时 shelter 能力，使模型从边境处理转为分布式救援。对应模型：情景对比、资源协同、公共-非政府协作模型。,official_statement_parameters,question_solutions/2016/F/q04/solution.py,question_results/2016/F/q04/result.json,question_reports/2016/F/q04/report.md,question_artifacts/2016/F/q04/ngo_strategy_comparison.csv
2016-F,2016,F,q05,Canada、China、United States 区域扩展,"Also consider the inclusion of other refugee destinations such as Canada, China, and the United States. Does your model work for these regions as well?",把题面要求的 Canada、China、United States 纳入 extension feasibility，保留网络流/容量结构，但重新校准距离、法律准入、资源 readiness 和长期融合能力。对应模型：模型迁移、区域适配、多指标可行性评分。,official_statement_parameters,question_solutions/2016/F/q05/solution.py,question_results/2016/F/q05/result.json,question_reports/2016/F/q05/report.md,question_artifacts/2016/F/q05/route_parameters.csv
2016-F,2016,F,q06,支持最优迁移模式的政策包与 UN 信件,Write a report on your model and propose a set of policies that will support the optimal set of conditions ensuring the optimal migration pattern.,把安全路线分流、多个入口点、容量触发配额、shelter/healthcare 前置、NGO 物流通道和本地居民健康安全合并为政策包，并写给 UN Secretary General 和 Chief of Migration 的一页政策信。对应模型：政策优化、执行摘要、风险治理、健康安全约束。,official_statement_parameters,question_solutions/2016/F/q06/solution.py,question_results/2016/F/q06/result.json,question_reports/2016/F/q06/report.md,question_artifacts/2016/F/q06/refugee_flow_network.png
2016-F,2016,F,q07,外生事件下会改变的模型参数,What parameters of the model would likely shift or change completely in a major exogenous event?,以题面 Paris attack/Brussels lockdown 为例，把 approval rate、border processing capacity、route safety、local acceptance、security screening time 设为外生事件敏感参数。对应模型：冲击情景、参数敏感性、鲁棒性分析。,official_statement_parameters,question_solutions/2016/F/q07/solution.py,question_results/2016/F/q07/result.json,question_reports/2016/F/q07/report.md,question_artifacts/2016/F/q07/exogenous_event_stress.csv
2016-F,2016,F,q08,邻国难民流动级联效应,What would be the cascading effects on the movement of refugees in neighboring countries?,对 West Balkans、Eastern Mediterranean 等高流量路线施加安全和处理容量下降，输出各路线 post-event safety/capacity 与 queue spillover 解释。对应模型：网络级联、瓶颈传播、压力测试。,official_statement_parameters,question_solutions/2016/F/q08/solution.py,question_results/2016/F/q08/result.json,question_reports/2016/F/q08/report.md,question_artifacts/2016/F/q08/exogenous_event_stress.csv
2016-F,2016,F,q09,面向外生事件的韧性移民政策,How will the immigration policies that you recommend be designed to be resilient to these types of events?,用 contingency entry points、人道筛查和长期 asylum adjudication 分离、NGO 物流通道、透明公共卫生沟通来保持政策韧性。对应模型：鲁棒政策设计、应急预案、韧性网络。,official_statement_parameters,question_solutions/2016/F/q09/solution.py,question_results/2016/F/q09/result.json,question_reports/2016/F/q09/report.md,question_artifacts/2016/F/q09/exogenous_event_stress.csv
2016-F,2016,F,q10,10 倍危机规模下不可扩展特征,"Using your model, expand the crisis to a larger scale by a factor of 10. Are there features of your model that are not scalable to larger populations?","把官方 715,000 规模放大 10 倍，比较不扩容时处理天数，识别 manual case processing、single-route bottleneck relief、short-term shelter-only planning、government-only deployment 等不可扩展特征。对应模型：尺度分析、容量扩展、瓶颈分析。",official_statement_parameters,question_solutions/2016/F/q10/solution.py,question_results/2016/F/q10/result.json,question_reports/2016/F/q10/report.md,question_artifacts/2016/F/q10/scalability_10x.csv
2016-F,2016,F,q11,规模急剧增加时改变或失效的参数,What parameters in your model change or become irrelevant when the scope of the crisis increases dramatically?,分析临时 camp capacity、route popularity、daily transport 等参数在长期/超大规模危机中如何让位于住房吸收、国际负担分担、疾病控制和教育连续性。对应模型：尺度转移、参数有效性审计、长期系统动力学。,official_statement_parameters,question_solutions/2016/F/q11/solution.py,question_results/2016/F/q11/result.json,question_reports/2016/F/q11/report.md,question_artifacts/2016/F/q11/scalability_10x.csv
2016-F,2016,F,q12,新增长期健康安全参数与时间阈值,"Do new parameters need to be added? How does this increase the time required to resolve refugee placement, and what new issues might arise such as disease control, childbirth, and education?",加入 disease surveillance、birth/maternal care、school-age education、employment/housing absorption、social cohesion 等长期参数，并设置 180 天阈值触发长期政策。对应模型：长期安置系统动力学、公共卫生模型、教育和社会融合约束。,official_statement_parameters,question_solutions/2016/F/q12/solution.py,question_results/2016/F/q12/result.json,question_reports/2016/F/q12/report.md,question_artifacts/2016/F/q12/scalability_10x.csv
2016-E,2016,E,q01,清洁水供给能力模型,Develop a model that provides a measure of the ability of a region to provide clean water to meet the needs of its population. You may need to consider the dynamic nature of the factors that affect both supply and demand.,读取 World Bank Jordan 缓存指标，用 freshwater withdrawals/internal renewable resources 构造物理水压力，并用基础饮水、卫生服务和 GDP/capita 修正经济稀缺。对应模型：水资源压力指数、系统动力学、多指标评价。,official_pdf_and_world_bank_csv,question_solutions/2016/E/q01/solution.py,question_results/2016/E/q01/result.json,question_reports/2016/E/q01/report.md,question_artifacts/2016/E/q01/water_scarcity_components.csv
2016-E,2016,E,q02,选择超载地区并解释缺水驱动因素,"Using the UN water scarcity map pick one country or region where water is heavily or moderately overloaded. Explain why and how water is scarce in that region, addressing physical and/or economic scarcity.",选择 Jordan 作为 heavily overloaded 地区；用 World Bank 总取水占内部资源比例、农业/生活/工业取水份额、饮水和卫生覆盖解释物理稀缺与经济稀缺。对应模型：指标诊断、社会-环境驱动分析。,official_pdf_and_world_bank_csv,question_solutions/2016/E/q02/solution.py,question_results/2016/E/q02/result.json,question_reports/2016/E/q02/report.md,question_artifacts/2016/E/q02/world_bank_water_panel.csv
2016-E,2016,E,q03,15 年无干预水资源预测与居民影响,"In your chosen region, use your model to show what the water situation will be in 15 years. How does this situation impact the lives of citizens? Incorporate environmental drivers' effects.",用最近人口增长率乘以题面用水增长为人口增长两倍的约束，外推无干预 stress index，并给出居民生活影响。对应模型：趋势外推、需求增长模型、风险阈值分析。,official_pdf_and_world_bank_csv,question_solutions/2016/E/q03/solution.py,question_results/2016/E/q03/result.json,question_reports/2016/E/q03/report.md,question_artifacts/2016/E/q03/water_forecast.csv
2016-E,2016,E,q04,覆盖所有缺水驱动因素的干预计划,"For your chosen region, design an intervention plan taking all the drivers of water scarcity into account. Discuss surrounding-area and ecosystem impacts, strengths and weaknesses.",设计农业节水、污水回用和卫生、漏损控制、海水淡化+可再生能源、雨水收集和地下水回补五类组合计划，并记录周边生态影响。对应模型：干预组合设计、成本效益分析、生态外部性评估。,official_pdf_and_world_bank_csv,question_solutions/2016/E/q04/solution.py,question_results/2016/E/q04/result.json,question_reports/2016/E/q04/report.md,question_artifacts/2016/E/q04/intervention_plan.csv
2016-E,2016,E,q05,有干预水资源预测与关键问题判断,"Use the intervention from Task 4 and your model to project water availability into the future. Can the region become less susceptible to water scarcity? Will water become a critical issue, and when?",对比无干预和有干预 15 年 stress index，判断是否降低易受缺水影响以及是否仍为 critical。对应模型：反事实预测、情景对比、政策效果评估。,official_pdf_and_world_bank_csv,question_solutions/2016/E/q05/solution.py,question_results/2016/E/q05/result.json,question_reports/2016/E/q05/report.md,question_artifacts/2016/E/q05/water_forecast.csv
2016-E,2016,E,q06,20 页报告与 ICM 清洁水任务建议,"Write a 20-page report explaining your model, water scarcity in your region with no intervention, your intervention, and the effect of your intervention. Detail strengths and weaknesses.",把官方 PDF、World Bank 数据、基线水压力、无干预预测、干预计划、有干预预测和模型限制整理为 ICM 可读报告。对应模型：实验报告、政策备忘录、模型限制说明。,official_pdf_and_world_bank_csv,question_solutions/2016/E/q06/solution.py,question_results/2016/E/q06/result.json,question_reports/2016/E/q06/report.md,question_artifacts/2016/E/q06/water_stress_projection.png
2016-C,2016,C,q01,Goodgrant 慈善 ROI 定义与候选学校评分,Develop a model to determine an optimal investment strategy based on each candidate school's demonstrated potential for effective use of private funding and an estimated philanthropic ROI.,读取官方 ProblemCDATA.zip 中 Scorecard 主表、候选 IPEDS UID 表和数据字典，筛选 current operating、predominant degree 3/4、UGDS>500 的候选学校；构造 student_success、grant_need、leverage 三类指数和 charitable ROI。对应模型：多指标综合评价、标准化加权评分、教育投资 ROI。,official_comap_xlsx_zip,question_solutions/2016/C/q01/solution.py,question_results/2016/C/q01/result.json,question_reports/2016/C/q01/report.md,question_artifacts/2016/C/q01/goodgrant_ranked_candidates.csv
2016-C,2016,C,q02,1 亿美元年度预算的优先资助组合,"Identify the schools, the investment amount per school, and the duration the money should be provided to maximize the likelihood of a strong positive effect on student performance.","按 rank_score 排序，在 annual budget 100,000,000 USD 和 5 年持续资助下贪心选择学校；每校年度 grant 在 2M-10M 之间，随官方 UGDS 规模调整。对应模型：预算约束组合选择、背包思想、投资组合排序。",official_comap_xlsx_zip,question_solutions/2016/C/q02/solution.py,question_results/2016/C/q02/result.json,question_reports/2016/C/q02/report.md,question_artifacts/2016/C/q02/goodgrant_funding_plan.csv
2016-C,2016,C,q03,ROI 权重稳健性与未来更新,Validate the model and discuss how the Goodgrant Foundation should assess 2016 donations and future philanthropic educational investments.,比较 base、need_priority、outcome_priority、scale_priority 四组权重场景，统计 Top20 overlap 和首选学校变化，说明 ROI 不是因果估计而是年度可更新的慈善投资指标。对应模型：敏感性分析、稳健性检验、模型更新机制。,official_comap_xlsx_zip,question_solutions/2016/C/q03/solution.py,question_results/2016/C/q03/result.json,question_reports/2016/C/q03/report.md,question_artifacts/2016/C/q03/roi_weight_sensitivity.csv
2016-C,2016,C,q04,给 CFO Alpha Chiang 的两页以内信,"Include a letter to the Chief Financial Officer of the Goodgrant Foundation, Mr. Alpha Chiang, describing the optimal investment strategy, modeling approach, major results, and ROI concept.",把官方数据来源、ROI 定义、推荐学校组合、年度预算和稳健性检查压缩成 CFO 可读的非技术信。对应模型：非技术政策报告、投资组合说明、ROI 解释。,official_comap_xlsx_zip,question_solutions/2016/C/q04/solution.py,question_results/2016/C/q04/result.json,question_reports/2016/C/q04/report.md,question_artifacts/2016/C/q04/goodgrant_top_schools.png
2017-A,2017,A,q01,Kariba 三方案成本收益简评,"ZRA management requires a brief assessment of repairing, rebuilding, or replacing Kariba Dam with sufficient detail to outline potential costs and benefits.",只使用官方题面给出的三个选项，构造 normalized cost、implementation years、construction disruption、safety improvement 和 water management flexibility 的可替换评分表。对应模型：多指标综合评价、成本收益分析、决策矩阵。,official_statement_parameters,question_solutions/2017/A/q01/solution.py,question_results/2017/A/q01/result.json,question_reports/2017/A/q01/report.md,question_artifacts/2017/A/q01/option_assessment.csv
2017-A,2017,A,q02,10-20 座小坝数量与坝址推荐,Provide a detailed analysis of removing Kariba Dam and replacing it with a series of ten to twenty smaller dams along the Zambezi River; support a recommendation for number and placement.,在官方 10-20 座小坝范围内扫描 dam_count frontier，用 storage、flood attenuation、low-flow support、redundancy 和 coordination penalty 得到 water management index，并给出 0-100 归一化河道坐标坝址。对应模型：离散优化、设施选址、容量规划、多目标权衡。,official_statement_parameters,question_solutions/2017/A/q02/solution.py,question_results/2017/A/q02/result.json,question_reports/2017/A/q02/report.md,question_artifacts/2017/A/q02/dam_placement_plan.csv
2017-A,2017,A,q03,多坝系统正常水文周期调度策略,Include a strategy for modulating the water flow through the new multiple dam system that provides a reasonable balance between safety and costs under known or predicted normal water cycles.,把 normal wet-season 和 normal dry-season 转成 flow_index 区间，制定上游蓄水、中游错峰、下游生态脉冲和低流量补给规则。对应模型：水库群调度、规则曲线、系统动力学、风险-成本权衡。,official_statement_parameters,question_solutions/2017/A/q03/solution.py,question_results/2017/A/q03/result.json,question_reports/2017/A/q03/report.md,question_artifacts/2017/A/q03/flow_modulation_policy.csv
2017-A,2017,A,q04,洪水与长期低水位极端流量指导,"Provide guidance for emergency water flow situations, including flooding and/or prolonged low water conditions, from maximum expected discharges to minimum expected discharges.",建立 maximum expected discharge、high flood、low flow、minimum expected discharge 四类情景，分别给出预泄、错峰、限制下游上升率、干旱配给和生态最小流量。对应模型：应急调度、洪水控制、干旱管理、情景分析。,official_statement_parameters,question_solutions/2017/A/q04/solution.py,question_results/2017/A/q04/result.json,question_reports/2017/A/q04/report.md,question_artifacts/2017/A/q04/extreme_flow_guidance.csv
2017-A,2017,A,q05,极端条件暴露区域与时长限制,Include information addressing restrictions regarding locations and lengths of time that different areas of the Zambezi River should be exposed to the most detrimental effects of extreme conditions.,把河道分成 upstream lake margin、mid-river farmland、urban low banks、hydropower intake reaches、delta wetlands，给出 flood/low-water 最大暴露天数和原因。对应模型：风险分区、暴露约束、韧性规划。,official_statement_parameters,question_solutions/2017/A/q05/solution.py,question_results/2017/A/q05/result.json,question_reports/2017/A/q05/report.md,question_artifacts/2017/A/q05/exposure_restrictions.csv
