problem_id,year,code,question_index,question_label,method,solution_path,result_path,report_path,artifact_dir
2014-B,2014,B,3,问题 3,linear_programming,cumcm/generic_baselines/solutions/2014/B/q03/solution.py,cumcm/generic_baselines/results/2014/B/q03/result.json,cumcm/generic_baselines/reports/2014/B/q03/report.md,cumcm/generic_baselines/artifacts/2014/B/q03
2014-C,2014,C,1,问题 1,quadratic_least_squares,cumcm/generic_baselines/solutions/2014/C/q01/solution.py,cumcm/generic_baselines/results/2014/C/q01/result.json,cumcm/generic_baselines/reports/2014/C/q01/report.md,cumcm/generic_baselines/artifacts/2014/C/q01
2014-D,2014,D,1,问题 1,linear_programming,cumcm/generic_baselines/solutions/2014/D/q01/solution.py,cumcm/generic_baselines/results/2014/D/q01/result.json,cumcm/generic_baselines/reports/2014/D/q01/report.md,cumcm/generic_baselines/artifacts/2014/D/q01
2014-D,2014,D,2,问题 2,linear_programming,cumcm/generic_baselines/solutions/2014/D/q02/solution.py,cumcm/generic_baselines/results/2014/D/q02/result.json,cumcm/generic_baselines/reports/2014/D/q02/report.md,cumcm/generic_baselines/artifacts/2014/D/q02
2014-D,2014,D,3,问题 3,linear_programming,cumcm/generic_baselines/solutions/2014/D/q03/solution.py,cumcm/generic_baselines/results/2014/D/q03/result.json,cumcm/generic_baselines/reports/2014/D/q03/report.md,cumcm/generic_baselines/artifacts/2014/D/q03
2014-D,2014,D,4,问题 4,linear_programming,cumcm/generic_baselines/solutions/2014/D/q04/solution.py,cumcm/generic_baselines/results/2014/D/q04/result.json,cumcm/generic_baselines/reports/2014/D/q04/report.md,cumcm/generic_baselines/artifacts/2014/D/q04
2015-A,2015,A,1,问题 1,quadratic_least_squares,cumcm/generic_baselines/solutions/2015/A/q01/solution.py,cumcm/generic_baselines/results/2015/A/q01/result.json,cumcm/generic_baselines/reports/2015/A/q01/report.md,cumcm/generic_baselines/artifacts/2015/A/q01
2015-A,2015,A,2,问题 2,least_squares_geometry_fit,cumcm/generic_baselines/solutions/2015/A/q02/solution.py,cumcm/generic_baselines/results/2015/A/q02/result.json,cumcm/generic_baselines/reports/2015/A/q02/report.md,cumcm/generic_baselines/artifacts/2015/A/q02
2015-A,2015,A,3,问题 3,linear_trend_forecast,cumcm/generic_baselines/solutions/2015/A/q03/solution.py,cumcm/generic_baselines/results/2015/A/q03/result.json,cumcm/generic_baselines/reports/2015/A/q03/report.md,cumcm/generic_baselines/artifacts/2015/A/q03
2015-A,2015,A,4,问题 4,fft_feature_extraction,cumcm/generic_baselines/solutions/2015/A/q04/solution.py,cumcm/generic_baselines/results/2015/A/q04/result.json,cumcm/generic_baselines/reports/2015/A/q04/report.md,cumcm/generic_baselines/artifacts/2015/A/q04
2015-B,2015,B,1,问题 1,std_weight_topsis,cumcm/generic_baselines/solutions/2015/B/q01/solution.py,cumcm/generic_baselines/results/2015/B/q01/result.json,cumcm/generic_baselines/reports/2015/B/q01/report.md,cumcm/generic_baselines/artifacts/2015/B/q01
2015-B,2015,B,2,问题 2,linear_programming,cumcm/generic_baselines/solutions/2015/B/q02/solution.py,cumcm/generic_baselines/results/2015/B/q02/result.json,cumcm/generic_baselines/reports/2015/B/q02/report.md,cumcm/generic_baselines/artifacts/2015/B/q02
2015-B,2015,B,3,问题 3,linear_programming,cumcm/generic_baselines/solutions/2015/B/q03/solution.py,cumcm/generic_baselines/results/2015/B/q03/result.json,cumcm/generic_baselines/reports/2015/B/q03/report.md,cumcm/generic_baselines/artifacts/2015/B/q03
2015-C,2015,C,1,问题 1,linear_trend_forecast,cumcm/generic_baselines/solutions/2015/C/q01/solution.py,cumcm/generic_baselines/results/2015/C/q01/result.json,cumcm/generic_baselines/reports/2015/C/q01/report.md,cumcm/generic_baselines/artifacts/2015/C/q01
2015-D,2015,D,1,问题 1,linear_programming,cumcm/generic_baselines/solutions/2015/D/q01/solution.py,cumcm/generic_baselines/results/2015/D/q01/result.json,cumcm/generic_baselines/reports/2015/D/q01/report.md,cumcm/generic_baselines/artifacts/2015/D/q01
2015-D,2015,D,2,问题 2,linear_programming,cumcm/generic_baselines/solutions/2015/D/q02/solution.py,cumcm/generic_baselines/results/2015/D/q02/result.json,cumcm/generic_baselines/reports/2015/D/q02/report.md,cumcm/generic_baselines/artifacts/2015/D/q02
2015-D,2015,D,3,问题 3,linear_programming,cumcm/generic_baselines/solutions/2015/D/q03/solution.py,cumcm/generic_baselines/results/2015/D/q03/result.json,cumcm/generic_baselines/reports/2015/D/q03/report.md,cumcm/generic_baselines/artifacts/2015/D/q03
2016-A,2016,A,1,问题1,least_squares_geometry_fit,cumcm/generic_baselines/solutions/2016/A/q01/solution.py,cumcm/generic_baselines/results/2016/A/q01/result.json,cumcm/generic_baselines/reports/2016/A/q01/report.md,cumcm/generic_baselines/artifacts/2016/A/q01
2016-A,2016,A,2,问题2,least_squares_geometry_fit,cumcm/generic_baselines/solutions/2016/A/q02/solution.py,cumcm/generic_baselines/results/2016/A/q02/result.json,cumcm/generic_baselines/reports/2016/A/q02/report.md,cumcm/generic_baselines/artifacts/2016/A/q02
2016-A,2016,A,3,问题3,least_squares_geometry_fit,cumcm/generic_baselines/solutions/2016/A/q03/solution.py,cumcm/generic_baselines/results/2016/A/q03/result.json,cumcm/generic_baselines/reports/2016/A/q03/report.md,cumcm/generic_baselines/artifacts/2016/A/q03
2016-B,2016,B,1,问题 1,std_weight_topsis,cumcm/generic_baselines/solutions/2016/B/q01/solution.py,cumcm/generic_baselines/results/2016/B/q01/result.json,cumcm/generic_baselines/reports/2016/B/q01/report.md,cumcm/generic_baselines/artifacts/2016/B/q01
2016-B,2016,B,2,问题 2,quadratic_least_squares,cumcm/generic_baselines/solutions/2016/B/q02/solution.py,cumcm/generic_baselines/results/2016/B/q02/result.json,cumcm/generic_baselines/reports/2016/B/q02/report.md,cumcm/generic_baselines/artifacts/2016/B/q02
2016-B,2016,B,3,问题 3,std_weight_topsis,cumcm/generic_baselines/solutions/2016/B/q03/solution.py,cumcm/generic_baselines/results/2016/B/q03/result.json,cumcm/generic_baselines/reports/2016/B/q03/report.md,cumcm/generic_baselines/artifacts/2016/B/q03
2016-B,2016,B,4,问题 4,least_squares_geometry_fit,cumcm/generic_baselines/solutions/2016/B/q04/solution.py,cumcm/generic_baselines/results/2016/B/q04/result.json,cumcm/generic_baselines/reports/2016/B/q04/report.md,cumcm/generic_baselines/artifacts/2016/B/q04
2016-C,2016,C,1,问题1,quadratic_least_squares,cumcm/generic_baselines/solutions/2016/C/q01/solution.py,cumcm/generic_baselines/results/2016/C/q01/result.json,cumcm/generic_baselines/reports/2016/C/q01/report.md,cumcm/generic_baselines/artifacts/2016/C/q01
2016-C,2016,C,2,问题2,first_order_dynamic_simulation,cumcm/generic_baselines/solutions/2016/C/q02/solution.py,cumcm/generic_baselines/results/2016/C/q02/result.json,cumcm/generic_baselines/reports/2016/C/q02/report.md,cumcm/generic_baselines/artifacts/2016/C/q02
2016-C,2016,C,3,问题3,quadratic_least_squares,cumcm/generic_baselines/solutions/2016/C/q03/solution.py,cumcm/generic_baselines/results/2016/C/q03/result.json,cumcm/generic_baselines/reports/2016/C/q03/report.md,cumcm/generic_baselines/artifacts/2016/C/q03
2016-D,2016,D,1,问题 1,quadratic_least_squares,cumcm/generic_baselines/solutions/2016/D/q01/solution.py,cumcm/generic_baselines/results/2016/D/q01/result.json,cumcm/generic_baselines/reports/2016/D/q01/report.md,cumcm/generic_baselines/artifacts/2016/D/q01
2016-D,2016,D,2,问题 2,least_squares_geometry_fit,cumcm/generic_baselines/solutions/2016/D/q02/solution.py,cumcm/generic_baselines/results/2016/D/q02/result.json,cumcm/generic_baselines/reports/2016/D/q02/report.md,cumcm/generic_baselines/artifacts/2016/D/q02
2016-D,2016,D,3,问题 3,linear_programming,cumcm/generic_baselines/solutions/2016/D/q03/solution.py,cumcm/generic_baselines/results/2016/D/q03/result.json,cumcm/generic_baselines/reports/2016/D/q03/report.md,cumcm/generic_baselines/artifacts/2016/D/q03
2017-A,2017,A,1,问题 1,least_squares_geometry_fit,cumcm/generic_baselines/solutions/2017/A/q01/solution.py,cumcm/generic_baselines/results/2017/A/q01/result.json,cumcm/generic_baselines/reports/2017/A/q01/report.md,cumcm/generic_baselines/artifacts/2017/A/q01
2017-A,2017,A,2,问题 2,least_squares_geometry_fit,cumcm/generic_baselines/solutions/2017/A/q02/solution.py,cumcm/generic_baselines/results/2017/A/q02/result.json,cumcm/generic_baselines/reports/2017/A/q02/report.md,cumcm/generic_baselines/artifacts/2017/A/q02
2017-A,2017,A,3,问题 3,quadratic_least_squares,cumcm/generic_baselines/solutions/2017/A/q03/solution.py,cumcm/generic_baselines/results/2017/A/q03/result.json,cumcm/generic_baselines/reports/2017/A/q03/report.md,cumcm/generic_baselines/artifacts/2017/A/q03
2017-A,2017,A,4,问题 4,quadratic_least_squares,cumcm/generic_baselines/solutions/2017/A/q04/solution.py,cumcm/generic_baselines/results/2017/A/q04/result.json,cumcm/generic_baselines/reports/2017/A/q04/report.md,cumcm/generic_baselines/artifacts/2017/A/q04
2017-A,2017,A,5,问题 1,quadratic_least_squares,cumcm/generic_baselines/solutions/2017/A/q05/solution.py,cumcm/generic_baselines/results/2017/A/q05/result.json,cumcm/generic_baselines/reports/2017/A/q05/report.md,cumcm/generic_baselines/artifacts/2017/A/q05
2017-B,2017,B,1,问题 1,linear_programming,cumcm/generic_baselines/solutions/2017/B/q01/solution.py,cumcm/generic_baselines/results/2017/B/q01/result.json,cumcm/generic_baselines/reports/2017/B/q01/report.md,cumcm/generic_baselines/artifacts/2017/B/q01
2017-B,2017,B,2,问题 2,quadratic_least_squares,cumcm/generic_baselines/solutions/2017/B/q02/solution.py,cumcm/generic_baselines/results/2017/B/q02/result.json,cumcm/generic_baselines/reports/2017/B/q02/report.md,cumcm/generic_baselines/artifacts/2017/B/q02
2017-B,2017,B,3,问题 3,linear_programming,cumcm/generic_baselines/solutions/2017/B/q03/solution.py,cumcm/generic_baselines/results/2017/B/q03/result.json,cumcm/generic_baselines/reports/2017/B/q03/report.md,cumcm/generic_baselines/artifacts/2017/B/q03
2017-B,2017,B,4,问题 4,std_weight_topsis,cumcm/generic_baselines/solutions/2017/B/q04/solution.py,cumcm/generic_baselines/results/2017/B/q04/result.json,cumcm/generic_baselines/reports/2017/B/q04/report.md,cumcm/generic_baselines/artifacts/2017/B/q04
2017-B,2017,B,5,问题 5,linear_programming,cumcm/generic_baselines/solutions/2017/B/q05/solution.py,cumcm/generic_baselines/results/2017/B/q05/result.json,cumcm/generic_baselines/reports/2017/B/q05/report.md,cumcm/generic_baselines/artifacts/2017/B/q05
2017-C,2017,C,1,问题 1,quadratic_least_squares,cumcm/generic_baselines/solutions/2017/C/q01/solution.py,cumcm/generic_baselines/results/2017/C/q01/result.json,cumcm/generic_baselines/reports/2017/C/q01/report.md,cumcm/generic_baselines/artifacts/2017/C/q01
2017-C,2017,C,2,问题 2,quadratic_least_squares,cumcm/generic_baselines/solutions/2017/C/q02/solution.py,cumcm/generic_baselines/results/2017/C/q02/result.json,cumcm/generic_baselines/reports/2017/C/q02/report.md,cumcm/generic_baselines/artifacts/2017/C/q02
2017-D,2017,D,1,问题1,linear_trend_forecast,cumcm/generic_baselines/solutions/2017/D/q01/solution.py,cumcm/generic_baselines/results/2017/D/q01/result.json,cumcm/generic_baselines/reports/2017/D/q01/report.md,cumcm/generic_baselines/artifacts/2017/D/q01
2017-D,2017,D,2,问题2,linear_trend_forecast,cumcm/generic_baselines/solutions/2017/D/q02/solution.py,cumcm/generic_baselines/results/2017/D/q02/result.json,cumcm/generic_baselines/reports/2017/D/q02/report.md,cumcm/generic_baselines/artifacts/2017/D/q02
2017-D,2017,D,3,问题3,quadratic_least_squares,cumcm/generic_baselines/solutions/2017/D/q03/solution.py,cumcm/generic_baselines/results/2017/D/q03/result.json,cumcm/generic_baselines/reports/2017/D/q03/report.md,cumcm/generic_baselines/artifacts/2017/D/q03
2018-A,2018,A,1,问题 2,first_order_dynamic_simulation,cumcm/generic_baselines/solutions/2018/A/q01/solution.py,cumcm/generic_baselines/results/2018/A/q01/result.json,cumcm/generic_baselines/reports/2018/A/q01/report.md,cumcm/generic_baselines/artifacts/2018/A/q01
2018-A,2018,A,2,问题 3,quadratic_least_squares,cumcm/generic_baselines/solutions/2018/A/q02/solution.py,cumcm/generic_baselines/results/2018/A/q02/result.json,cumcm/generic_baselines/reports/2018/A/q02/report.md,cumcm/generic_baselines/artifacts/2018/A/q02
2018-B,2018,B,1,问题 1,quadratic_least_squares,cumcm/generic_baselines/solutions/2018/B/q01/solution.py,cumcm/generic_baselines/results/2018/B/q01/result.json,cumcm/generic_baselines/reports/2018/B/q01/report.md,cumcm/generic_baselines/artifacts/2018/B/q01
2018-B,2018,B,2,问题 2,quadratic_least_squares,cumcm/generic_baselines/solutions/2018/B/q02/solution.py,cumcm/generic_baselines/results/2018/B/q02/result.json,cumcm/generic_baselines/reports/2018/B/q02/report.md,cumcm/generic_baselines/artifacts/2018/B/q02
2018-B,2018,B,3,问题 3,linear_programming,cumcm/generic_baselines/solutions/2018/B/q03/solution.py,cumcm/generic_baselines/results/2018/B/q03/result.json,cumcm/generic_baselines/reports/2018/B/q03/report.md,cumcm/generic_baselines/artifacts/2018/B/q03
2018-C,2018,C,1,问题 1,std_weight_topsis,cumcm/generic_baselines/solutions/2018/C/q01/solution.py,cumcm/generic_baselines/results/2018/C/q01/result.json,cumcm/generic_baselines/reports/2018/C/q01/report.md,cumcm/generic_baselines/artifacts/2018/C/q01
2018-C,2018,C,2,问题 2,logistic_regression_plus_kmeans,cumcm/generic_baselines/solutions/2018/C/q02/solution.py,cumcm/generic_baselines/results/2018/C/q02/result.json,cumcm/generic_baselines/reports/2018/C/q02/report.md,cumcm/generic_baselines/artifacts/2018/C/q02
2018-C,2018,C,3,问题 3,quadratic_least_squares,cumcm/generic_baselines/solutions/2018/C/q03/solution.py,cumcm/generic_baselines/results/2018/C/q03/result.json,cumcm/generic_baselines/reports/2018/C/q03/report.md,cumcm/generic_baselines/artifacts/2018/C/q03
2018-C,2018,C,4,问题 4,quadratic_least_squares,cumcm/generic_baselines/solutions/2018/C/q04/solution.py,cumcm/generic_baselines/results/2018/C/q04/result.json,cumcm/generic_baselines/reports/2018/C/q04/report.md,cumcm/generic_baselines/artifacts/2018/C/q04
2018-C,2018,C,5,问题 5,quadratic_least_squares,cumcm/generic_baselines/solutions/2018/C/q05/solution.py,cumcm/generic_baselines/results/2018/C/q05/result.json,cumcm/generic_baselines/reports/2018/C/q05/report.md,cumcm/generic_baselines/artifacts/2018/C/q05
2018-D,2018,D,1,问题 一,linear_programming,cumcm/generic_baselines/solutions/2018/D/q01/solution.py,cumcm/generic_baselines/results/2018/D/q01/result.json,cumcm/generic_baselines/reports/2018/D/q01/report.md,cumcm/generic_baselines/artifacts/2018/D/q01
2018-D,2018,D,2,问题 二,linear_programming,cumcm/generic_baselines/solutions/2018/D/q02/solution.py,cumcm/generic_baselines/results/2018/D/q02/result.json,cumcm/generic_baselines/reports/2018/D/q02/report.md,cumcm/generic_baselines/artifacts/2018/D/q02
2018-D,2018,D,3,问题 1,linear_trend_forecast,cumcm/generic_baselines/solutions/2018/D/q03/solution.py,cumcm/generic_baselines/results/2018/D/q03/result.json,cumcm/generic_baselines/reports/2018/D/q03/report.md,cumcm/generic_baselines/artifacts/2018/D/q03
2018-D,2018,D,4,问题 2,quadratic_least_squares,cumcm/generic_baselines/solutions/2018/D/q04/solution.py,cumcm/generic_baselines/results/2018/D/q04/result.json,cumcm/generic_baselines/reports/2018/D/q04/report.md,cumcm/generic_baselines/artifacts/2018/D/q04
2018-D,2018,D,5,问题 3,linear_programming,cumcm/generic_baselines/solutions/2018/D/q05/solution.py,cumcm/generic_baselines/results/2018/D/q05/result.json,cumcm/generic_baselines/reports/2018/D/q05/report.md,cumcm/generic_baselines/artifacts/2018/D/q05
2018-D,2018,D,6,问题 4,quadratic_least_squares,cumcm/generic_baselines/solutions/2018/D/q06/solution.py,cumcm/generic_baselines/results/2018/D/q06/result.json,cumcm/generic_baselines/reports/2018/D/q06/report.md,cumcm/generic_baselines/artifacts/2018/D/q06
2018-D,2018,D,7,问题 1,linear_programming,cumcm/generic_baselines/solutions/2018/D/q07/solution.py,cumcm/generic_baselines/results/2018/D/q07/result.json,cumcm/generic_baselines/reports/2018/D/q07/report.md,cumcm/generic_baselines/artifacts/2018/D/q07
2018-D,2018,D,8,问题 2,quadratic_least_squares,cumcm/generic_baselines/solutions/2018/D/q08/solution.py,cumcm/generic_baselines/results/2018/D/q08/result.json,cumcm/generic_baselines/reports/2018/D/q08/report.md,cumcm/generic_baselines/artifacts/2018/D/q08
2019-A,2019,A,1,问题1,first_order_dynamic_simulation,cumcm/generic_baselines/solutions/2019/A/q01/solution.py,cumcm/generic_baselines/results/2019/A/q01/result.json,cumcm/generic_baselines/reports/2019/A/q01/report.md,cumcm/generic_baselines/artifacts/2019/A/q01
2019-A,2019,A,2,问题2,least_squares_geometry_fit,cumcm/generic_baselines/solutions/2019/A/q02/solution.py,cumcm/generic_baselines/results/2019/A/q02/result.json,cumcm/generic_baselines/reports/2019/A/q02/report.md,cumcm/generic_baselines/artifacts/2019/A/q02
2019-A,2019,A,3,问题3,linear_programming,cumcm/generic_baselines/solutions/2019/A/q03/solution.py,cumcm/generic_baselines/results/2019/A/q03/result.json,cumcm/generic_baselines/reports/2019/A/q03/report.md,cumcm/generic_baselines/artifacts/2019/A/q03
2019-B,2019,B,1,问题 1,linear_programming,cumcm/generic_baselines/solutions/2019/B/q01/solution.py,cumcm/generic_baselines/results/2019/B/q01/result.json,cumcm/generic_baselines/reports/2019/B/q01/report.md,cumcm/generic_baselines/artifacts/2019/B/q01
2019-B,2019,B,2,问题 2,least_squares_geometry_fit,cumcm/generic_baselines/solutions/2019/B/q02/solution.py,cumcm/generic_baselines/results/2019/B/q02/result.json,cumcm/generic_baselines/reports/2019/B/q02/report.md,cumcm/generic_baselines/artifacts/2019/B/q02
2019-B,2019,B,3,问题 3,linear_programming,cumcm/generic_baselines/solutions/2019/B/q03/solution.py,cumcm/generic_baselines/results/2019/B/q03/result.json,cumcm/generic_baselines/reports/2019/B/q03/report.md,cumcm/generic_baselines/artifacts/2019/B/q03
2019-B,2019,B,4,问题 4,least_squares_geometry_fit,cumcm/generic_baselines/solutions/2019/B/q04/solution.py,cumcm/generic_baselines/results/2019/B/q04/result.json,cumcm/generic_baselines/reports/2019/B/q04/report.md,cumcm/generic_baselines/artifacts/2019/B/q04
2019-C,2019,C,1,问题 1,linear_programming,cumcm/generic_baselines/solutions/2019/C/q01/solution.py,cumcm/generic_baselines/results/2019/C/q01/result.json,cumcm/generic_baselines/reports/2019/C/q01/report.md,cumcm/generic_baselines/artifacts/2019/C/q01
2019-C,2019,C,2,问题 2,quadratic_least_squares,cumcm/generic_baselines/solutions/2019/C/q02/solution.py,cumcm/generic_baselines/results/2019/C/q02/result.json,cumcm/generic_baselines/reports/2019/C/q02/report.md,cumcm/generic_baselines/artifacts/2019/C/q02
2019-C,2019,C,3,问题 3,quadratic_least_squares,cumcm/generic_baselines/solutions/2019/C/q03/solution.py,cumcm/generic_baselines/results/2019/C/q03/result.json,cumcm/generic_baselines/reports/2019/C/q03/report.md,cumcm/generic_baselines/artifacts/2019/C/q03
2019-C,2019,C,4,问题 4,linear_programming,cumcm/generic_baselines/solutions/2019/C/q04/solution.py,cumcm/generic_baselines/results/2019/C/q04/result.json,cumcm/generic_baselines/reports/2019/C/q04/report.md,cumcm/generic_baselines/artifacts/2019/C/q04
2019-D,2019,D,1,问题 1,quadratic_least_squares,cumcm/generic_baselines/solutions/2019/D/q01/solution.py,cumcm/generic_baselines/results/2019/D/q01/result.json,cumcm/generic_baselines/reports/2019/D/q01/report.md,cumcm/generic_baselines/artifacts/2019/D/q01
2019-D,2019,D,2,问题 2,quadratic_least_squares,cumcm/generic_baselines/solutions/2019/D/q02/solution.py,cumcm/generic_baselines/results/2019/D/q02/result.json,cumcm/generic_baselines/reports/2019/D/q02/report.md,cumcm/generic_baselines/artifacts/2019/D/q02
2019-D,2019,D,3,问题 3,quadratic_least_squares,cumcm/generic_baselines/solutions/2019/D/q03/solution.py,cumcm/generic_baselines/results/2019/D/q03/result.json,cumcm/generic_baselines/reports/2019/D/q03/report.md,cumcm/generic_baselines/artifacts/2019/D/q03
