problem_id,year,code,question_index,question_label,statement,solution_path,result_path,report_path,artifact_path,attachment_count
2014-D,2014,D,1,问题 1,药房内的盒装药品种类繁多，药盒尺寸规格差异较大，附件1中给出了一些药盒的规格。请利用附件1的数据，给出竖向隔板间距类型最少的储药柜设计方案，包括类型的数量和每种类型所对应的药盒规格。,cumcm/question_solutions/2014/D/q01/solution.py,cumcm/question_results/2014/D/q01/result.json,cumcm/question_reports/2014/D/q01/report.md,cumcm/question_artifacts/2014/D/q01/experiment_table.csv,6
2014-D,2014,D,2,问题 2,药盒与两侧竖向隔板之间的间隙超出2mm的部分可视为宽度冗余。增加竖向隔板的间距类型数量可以有效地减少宽度冗余，但会增加储药柜的加工成本，同时降低了储药槽的适应能力。设计时希望总宽度冗余尽可能小，同时也希望间距的类型数量尽可能少。仍利用附件1的数据，给出合理的竖向隔板间距类型的数量以及每种类型对应的药品编号。,cumcm/question_solutions/2014/D/q02/solution.py,cumcm/question_results/2014/D/q02/result.json,cumcm/question_reports/2014/D/q02/report.md,cumcm/question_artifacts/2014/D/q02/experiment_table.csv,6
2014-D,2014,D,3,问题 3,考虑补药的便利性，储药柜的宽度不超过2.5m、高度不超过2m，传送装置占用的高度为0.5m，即储药柜的最大允许有效高度为1.5m。药盒与两层横向隔板之间的间隙超出2mm的部分可视为高度冗余，平面冗余＝高度冗余×宽度冗余。在问题2计算结果的基础上，确定储药柜横向隔板间距的类型数量，使得储药柜的总平面冗余量尽可能地小，且横向隔板间距的类型数量也尽可能地少。,cumcm/question_solutions/2014/D/q03/solution.py,cumcm/question_results/2014/D/q03/result.json,cumcm/question_reports/2014/D/q03/report.md,cumcm/question_artifacts/2014/D/q03/experiment_table.csv,6
2014-D,2014,D,4,问题 4,附件2给出了每一种药品编号对应的最大日需求量。在储药槽的长度为1.5m、每天仅集中补药一次的情况下，请计算每一种药品需要的储药槽个数。为保证药房储药满足需求，根据问题3中单个储药柜的规格，计算最少需要多少个储药柜。,cumcm/question_solutions/2014/D/q04/solution.py,cumcm/question_results/2014/D/q04/result.json,cumcm/question_reports/2014/D/q04/report.md,cumcm/question_artifacts/2014/D/q04/experiment_table.csv,6
2015-A,2015,A,1,问题 1,"建立影子长度变化的数学模型，分析影子长度关于各个参数的变化规律，并应用你们建立的模型画出2015年10月22日北京时间9:00-15:00之间天安门广场（北纬39度54分26秒,东经116度23分29秒）3米高的直杆的太阳影子长度的变化曲线。",cumcm/question_solutions/2015/A/q01/solution.py,cumcm/question_results/2015/A/q01/result.json,cumcm/question_reports/2015/A/q01/report.md,cumcm/question_artifacts/2015/A/q01/experiment_table.csv,6
2015-A,2015,A,2,问题 2,根据某固定直杆在水平地面上的太阳影子顶点坐标数据，建立数学模型确定直杆所处的地点。将你们的模型应用于附件1的影子顶点坐标数据，给出若干个可能的地点。,cumcm/question_solutions/2015/A/q02/solution.py,cumcm/question_results/2015/A/q02/result.json,cumcm/question_reports/2015/A/q02/report.md,cumcm/question_artifacts/2015/A/q02/experiment_table.csv,6
2015-A,2015,A,3,问题 3,根据某固定直杆在水平地面上的太阳影子顶点坐标数据，建立数学模型确定直杆所处的地点和日期。将你们的模型分别应用于附件2和附件3的影子顶点坐标数据，给出若干个可能的地点与日期。,cumcm/question_solutions/2015/A/q03/solution.py,cumcm/question_results/2015/A/q03/result.json,cumcm/question_reports/2015/A/q03/report.md,cumcm/question_artifacts/2015/A/q03/experiment_table.csv,6
2015-A,2015,A,4,问题 4,附件4为一根直杆在太阳下的影子变化的视频，并且已通过某种方式估计出直杆的高度为2米。请建立确定视频拍摄地点的数学模型，并应用你们的模型给出若干个可能的拍摄地点。 如果拍摄日期未知，你能否根据视频确定出拍摄地点与日期？,cumcm/question_solutions/2015/A/q04/solution.py,cumcm/question_results/2015/A/q04/result.json,cumcm/question_reports/2015/A/q04/report.md,cumcm/question_artifacts/2015/A/q04/experiment_table.csv,6
2015-B,2015,B,1,问题 1,试建立合理的指标，并分析不同时空出租车资源的“供求匹配”程度。,cumcm/question_solutions/2015/B/q01/solution.py,cumcm/question_results/2015/B/q01/result.json,cumcm/question_reports/2015/B/q01/report.md,cumcm/question_artifacts/2015/B/q01/experiment_table.csv,2
2015-B,2015,B,2,问题 2,分析各公司的出租车补贴方案是否对“缓解打车难”有帮助？,cumcm/question_solutions/2015/B/q02/solution.py,cumcm/question_results/2015/B/q02/result.json,cumcm/question_reports/2015/B/q02/report.md,cumcm/question_artifacts/2015/B/q02/experiment_table.csv,2
2015-B,2015,B,3,问题 3,如果要创建一个新的打车软件服务平台，你们将设计什么样的补贴方案，并论证其合理性。,cumcm/question_solutions/2015/B/q03/solution.py,cumcm/question_results/2015/B/q03/result.json,cumcm/question_reports/2015/B/q03/report.md,cumcm/question_artifacts/2015/B/q03/experiment_table.csv,2
2015-C,2015,C,1,问题 1,根据所建立的模型，分析2016年北京地区“月上柳梢头，人约黄昏后”发生的日期与时间。根据模型判断2016年在哈尔滨、上海、广州、昆明、成都、乌鲁木齐是否能发生这一情景？如果能，请给出相应的日期与时间；如果不能，请给出原因,cumcm/question_solutions/2015/C/q01/solution.py,cumcm/question_results/2015/C/q01/result.json,cumcm/question_reports/2015/C/q01/report.md,cumcm/question_artifacts/2015/C/q01/experiment_table.csv,2
2015-D,2015,D,1,问题 1,为了信息公开及民主决策，需要将这个众筹筑屋项目原方案（称作方案Ⅰ）的成本与收益、容积率和增值税等信息进行公布。请你们建立模型对方案I进行全面的核算，帮助其公布相关信息,cumcm/question_solutions/2015/D/q01/solution.py,cumcm/question_results/2015/D/q01/result.json,cumcm/question_reports/2015/D/q01/report.md,cumcm/question_artifacts/2015/D/q01/experiment_table.csv,8
2015-D,2015,D,2,问题 2,通过对参筹者进行抽样调查，得到了参筹者对11种房型购买意愿的比例（见附件1）。为了尽量满足参筹者的购买意愿，请你重新设计建设规划方案（称为方案Ⅱ），并对方案II进行核算,cumcm/question_solutions/2015/D/q02/solution.py,cumcm/question_results/2015/D/q02/result.json,cumcm/question_reports/2015/D/q02/report.md,cumcm/question_artifacts/2015/D/q02/experiment_table.csv,8
2015-D,2015,D,3,问题 3,一般而言，投资回报率达到25%以上的众筹项目才会被成功执行。你们所给出的众筹筑屋方案Ⅱ能否被成功执行？如果能，请说明理由。如果不能，应怎样调整才能使此众筹筑屋项目能被成功执行？,cumcm/question_solutions/2015/D/q03/solution.py,cumcm/question_results/2015/D/q03/result.json,cumcm/question_reports/2015/D/q03/report.md,cumcm/question_artifacts/2015/D/q03/experiment_table.csv,8
2016-A,2016,A,1,问题1,某型传输节点选用II型电焊锚链22.05m，选用的重物球的质量为1200kg。现将该型传输节点布放在水深18m、海床平坦、海水密度为1.025×103kg/m3的海域。若海水静止，分别计算海面风速为12m/s和24m/s时钢桶和各节钢管的倾斜角度、锚链形状、浮标的吃水深度和游动区域。,cumcm/question_solutions/2016/A/q01/solution.py,cumcm/question_results/2016/A/q01/result.json,cumcm/question_reports/2016/A/q01/report.md,cumcm/question_artifacts/2016/A/q01/experiment_table.csv,8
2016-A,2016,A,2,问题2,在问题1的假设下，计算海面风速为36m/s时钢桶和各节钢管的倾斜角度、锚链形状和浮标的游动区域。请调节重物球的质量，使得钢桶的倾斜角度不超过5度，锚链在锚点与海床的夹角不超过16度。,cumcm/question_solutions/2016/A/q02/solution.py,cumcm/question_results/2016/A/q02/result.json,cumcm/question_reports/2016/A/q02/report.md,cumcm/question_artifacts/2016/A/q02/experiment_table.csv,8
2016-A,2016,A,3,问题3,由于潮汐等因素的影响，布放海域的实测水深介于16m~20m之间。布放点的海水速度最大可达到1.5m/s、风速最大可达到36m/s。请给出考虑风力、水流力和水深情况下的系泊系统设计，分析不同情况下钢桶、钢管的倾斜角度、锚链形状、浮标的吃水深度和游动区域。 说明 近海风荷载可通过近似公式F=0.625×Sv2(N) QUOTE \* MERGEFORMAT 计算，其中S为物体在风向法平面的投影面积(m2)，v为风速(m/s）。近海水流力可通过近似公式F=374×Sv2(N)计算，其中S为物体在水流速度法平面的投影面积(m2)，v为水流速度(m/s）。 附表 锚链型号和参数表 型号 长度(mm) 单位长度的质量(kg/m) I 78 3.2 II 105 7 III 120 12.5 IV 150 19.5 V 180 28.12 表注：长度是指每节链环的长度。,cumcm/question_solutions/2016/A/q03/solution.py,cumcm/question_results/2016/A/q03/result.json,cumcm/question_reports/2016/A/q03/report.md,cumcm/question_artifacts/2016/A/q03/experiment_table.csv,8
2016-B,2016,B,1,问题 1,请选取合适的评价指标体系，用以评价小区开放对周边道路通行的影响。,cumcm/question_solutions/2016/B/q01/solution.py,cumcm/question_results/2016/B/q01/result.json,cumcm/question_reports/2016/B/q01/report.md,cumcm/question_artifacts/2016/B/q01/experiment_table.csv,0
2016-B,2016,B,2,问题 2,请建立关于车辆通行的数学模型，用以研究小区开放对周边道路通行的影响。,cumcm/question_solutions/2016/B/q02/solution.py,cumcm/question_results/2016/B/q02/result.json,cumcm/question_reports/2016/B/q02/report.md,cumcm/question_artifacts/2016/B/q02/experiment_table.csv,0
2016-B,2016,B,3,问题 3,小区开放产生的效果，可能会与小区结构及周边道路结构、车流量有关。请选取或构建不同类型的小区，应用你们建立的模型，定量比较各类型小区开放前后对道路通行的影响。,cumcm/question_solutions/2016/B/q03/solution.py,cumcm/question_results/2016/B/q03/result.json,cumcm/question_reports/2016/B/q03/report.md,cumcm/question_artifacts/2016/B/q03/experiment_table.csv,0
2016-B,2016,B,4,问题 4,根据你们的研究结果，从交通通行的角度，向城市规划和交通管理部门提出你们关于小区开放的合理化建议。,cumcm/question_solutions/2016/B/q04/solution.py,cumcm/question_results/2016/B/q04/result.json,cumcm/question_reports/2016/B/q04/report.md,cumcm/question_artifacts/2016/B/q04/experiment_table.csv,0
2016-C,2016,C,1,问题1,附件1是同一生产批次电池出厂时以不同电流强度放电测试的完整放电曲线的采样数据。请根据附件1用初等函数表示各放电曲线，并分别给出各放电曲线的平均相对误差（MRE，定义见附件1）。如果在新电池使用中，分别以30A、40A、50A、60A和70A电流强度放电，测得电压都为9.8伏时，根据你获得的模型，电池的剩余放电时间分别是多少？,cumcm/question_solutions/2016/C/q01/solution.py,cumcm/question_results/2016/C/q01/result.json,cumcm/question_reports/2016/C/q01/report.md,cumcm/question_artifacts/2016/C/q01/experiment_table.csv,2
2016-C,2016,C,2,问题2,试建立以20A到100A之间任一恒定电流强度放电时的放电曲线的数学模型，并用MRE评估模型的精度。用表格和图形给出电流强度为55A时的放电曲线。,cumcm/question_solutions/2016/C/q02/solution.py,cumcm/question_results/2016/C/q02/result.json,cumcm/question_reports/2016/C/q02/report.md,cumcm/question_artifacts/2016/C/q02/experiment_table.csv,2
2016-C,2016,C,3,问题3,附件2是同一电池在不同衰减状态下以同一电流强度从充满电开始放电的记录数据。试预测附件2中电池衰减状态3的剩余放电时间。,cumcm/question_solutions/2016/C/q03/solution.py,cumcm/question_results/2016/C/q03/result.json,cumcm/question_reports/2016/C/q03/report.md,cumcm/question_artifacts/2016/C/q03/experiment_table.csv,2
2016-D,2016,D,1,问题 1,附件1给出了该风电场一年内每隔15分钟的各风机安装处的平均风速和风电场日实际输出功率。试利用这些数据对该风电场的风能资源及其利用情况进行评估。,cumcm/question_solutions/2016/D/q01/solution.py,cumcm/question_results/2016/D/q01/result.json,cumcm/question_reports/2016/D/q01/report.md,cumcm/question_artifacts/2016/D/q01/experiment_table.csv,27
2016-D,2016,D,2,问题 2,附件2给出了该风电场几个典型风机所在处的风速信息，其中4#、16#、24#风机属于一期工程，33#、49#、57#风机属于二期工程，它们的主要参数见附件3。风机生产企业还提供了部分新型号风机，它们的主要参数见附件4。试从风能资源与风机匹配角度判断新型号风机是否比现有风机更为适合。,cumcm/question_solutions/2016/D/q02/solution.py,cumcm/question_results/2016/D/q02/result.json,cumcm/question_reports/2016/D/q02/report.md,cumcm/question_artifacts/2016/D/q02/experiment_table.csv,27
2016-D,2016,D,3,问题 3,为安全生产需要，风机每年需进行两次停机维护，两次维护之间的连续工作时间不超过270天，每次维护需一组维修人员连续工作2天。同时风电场每天需有一组维修人员值班以应对突发情况。风电场现有4组维修人员可从事值班或维护工作，每组维修人员连续工作时间（值班或维护）不超过6天。请制定维修人员的排班方案与风机维护计划，使各组维修人员的工作任务相对均衡，且风电场具有较好的经济效益，试给出你的方法和结果。 附件1 平均风速和风电场日实际输出功率表。 附件2 风电场典型风机报表。 附件3 风电场风机型号及其参数。 附件4 风机生产企业提供的新型号风机主要参数。,cumcm/question_solutions/2016/D/q03/solution.py,cumcm/question_results/2016/D/q03/result.json,cumcm/question_reports/2016/D/q03/report.md,cumcm/question_artifacts/2016/D/q03/experiment_table.csv,27
2017-A,2017,A,1,问题 1,在正方形托盘上放置两个均匀固体介质组成的标定模板，模板的几何信息如图2所示，相应的数据文件见附件1，其中每一点的数值反映了该点的吸收强度，这里称为“吸收率”。对应于该模板的接收信息见附件2。请根据这一模板及其接收信息，确定CT系统旋转中心在正方形托盘中的位置、探测器单元之间的距离以及该CT系统使用的X射线的180个方向。,cumcm/question_solutions/2017/A/q01/solution.py,cumcm/question_results/2017/A/q01/result.json,cumcm/question_reports/2017/A/q01/report.md,cumcm/question_artifacts/2017/A/q01/experiment_table.csv,2
2017-A,2017,A,2,问题 2,附件3是利用上述CT系统得到的某未知介质的接收信息。利用(1)中得到的标定参数，确定该未知介质在正方形托盘中的位置、几何形状和吸收率等信息。另外，请具体给出图3所给的10个位置处的吸收率，相应的数据文件见附件4。,cumcm/question_solutions/2017/A/q02/solution.py,cumcm/question_results/2017/A/q02/result.json,cumcm/question_reports/2017/A/q02/report.md,cumcm/question_artifacts/2017/A/q02/experiment_table.csv,2
2017-A,2017,A,3,问题 3,附件5是利用上述CT系统得到的另一个未知介质的接收信息。利用(1)中得到的标定参数，给出该未知介质的相关信息。另外，请具体给出图3所给的10个位置处的吸收率。,cumcm/question_solutions/2017/A/q03/solution.py,cumcm/question_results/2017/A/q03/result.json,cumcm/question_reports/2017/A/q03/report.md,cumcm/question_artifacts/2017/A/q03/experiment_table.csv,2
2017-A,2017,A,4,问题 4,分析(1)中参数标定的精度和稳定性。在此基础上自行设计新模板、建立对应的标定模型，以改进标定精度和稳定性，并说明理由。,cumcm/question_solutions/2017/A/q04/solution.py,cumcm/question_results/2017/A/q04/result.json,cumcm/question_reports/2017/A/q04/report.md,cumcm/question_artifacts/2017/A/q04/experiment_table.csv,2
