year,code,problem_id,title,core,question_count,recommended_models,problem_path,solution_path,result_path,report_path
2015,B,2015-B,2015年 CUMCM B题：互联网+”时代的出租车资源配置,本题核心是把 `2015年 CUMCM B题：互联网+”时代的出租车资源配置` 的业务场景转化为可计算的数学模型，重点围绕 规划优化模型、评价与决策模型、图论与复杂网络 展开；起手应先梳理变量、约束、目标函数/评价指标，再按每问逐步建模。第一问通常给出主要建模入口：试建立合理的指标，并分析不同时空出租车资源的“供求匹配”程度。,3,规划优化模型(CH3)；评价与决策模型(CH7)；图论与复杂网络(CH4)；数据处理与拟合(CH6),cumcm/problems/2015/B.md,cumcm/solutions/2015/B/solution.py,cumcm/results/2015/B/result.json,cumcm/reports/2015/B/report.md
2015,C,2015-C,2015年 CUMCM C题：月上柳梢头,本题核心是把 `2015年 CUMCM C题：月上柳梢头` 的业务场景转化为可计算的数学模型，重点围绕 几何与方程模型、评价与决策模型、时间序列模型 展开；起手应先梳理变量、约束、目标函数/评价指标，再按每问逐步建模。第一问通常给出主要建模入口：根据所建立的模型，分析2016年北京地区“月上柳梢头，人约黄昏后”发生的日期与时间。根据模型判断2016年在哈尔滨、上海、广州、昆明、成都、乌鲁木齐是否能发生这一情景？如果能，请给出相应的日期与时间；如果不能，请给出原因,1,评价与决策模型(CH7)；几何与方程模型(CH1)；时间序列模型(CH8)；规划优化模型(CH3),cumcm/problems/2015/C.md,cumcm/solutions/2015/C/solution.py,cumcm/results/2015/C/result.json,cumcm/reports/2015/C/report.md
2015,D,2015-D,2015年 CUMCM D题：众筹筑屋规划方案设计,本题核心是把 `2015年 CUMCM D题：众筹筑屋规划方案设计` 的业务场景转化为可计算的数学模型，重点围绕 规划优化模型 展开；起手应先梳理变量、约束、目标函数/评价指标，再按每问逐步建模。第一问通常给出主要建模入口：为了信息公开及民主决策，需要将这个众筹筑屋项目原方案（称作方案Ⅰ）的成本与收益、容积率和增值税等信息进行公布。请你们建立模型对方案I进行全面的核算，帮助其公布相关信息,3,规划优化模型(CH3)；评价与决策模型(CH7)；数据处理与拟合(CH6)；图像文本与信号(CH10),cumcm/problems/2015/D.md,cumcm/solutions/2015/D/solution.py,cumcm/results/2015/D/result.json,cumcm/reports/2015/D/report.md
2016,A,2016-A,2016年 CUMCM A题：系泊系统的设计,本题核心是把 `2016年 CUMCM A题：系泊系统的设计` 的业务场景转化为可计算的数学模型，重点围绕 几何与方程模型、微分方程与动力系统、规划优化模型 展开；起手应先梳理变量、约束、目标函数/评价指标，再按每问逐步建模。第一问通常给出主要建模入口：某型传输节点选用II型电焊锚链22.05m，选用的重物球的质量为1200kg。现将该型传输节点布放在水深18m、海床平坦、海水密度为1.025×103kg/m3的海域。若海水静止，分别计算海面风速为12m/s和24m/s时钢桶和各节钢管的倾,3,几何与方程模型(CH1)；微分方程与动力系统(CH2)；评价与决策模型(CH7)；规划优化模型(CH3),cumcm/problems/2016/A.md,cumcm/solutions/2016/A/solution.py,cumcm/results/2016/A/result.json,cumcm/reports/2016/A/report.md
2016,B,2016-B,2016年 CUMCM B题：小区开放对道路通行的影响,本题核心是把 `2016年 CUMCM B题：小区开放对道路通行的影响` 的业务场景转化为可计算的数学模型，重点围绕 评价与决策模型、规划优化模型、图论与复杂网络 展开；起手应先梳理变量、约束、目标函数/评价指标，再按每问逐步建模。第一问通常给出主要建模入口：请选取合适的评价指标体系，用以评价小区开放对周边道路通行的影响。,4,评价与决策模型(CH7)；图论与复杂网络(CH4)；几何与方程模型(CH1)；规划优化模型(CH3),cumcm/problems/2016/B.md,cumcm/solutions/2016/B/solution.py,cumcm/results/2016/B/result.json,cumcm/reports/2016/B/report.md
2016,C,2016-C,2016年 CUMCM C题：电池剩余放电时间预测,本题核心是把 `2016年 CUMCM C题：电池剩余放电时间预测` 的业务场景转化为可计算的数学模型，重点围绕 数据处理与拟合、微分方程与动力系统、评价与决策模型 展开；起手应先梳理变量、约束、目标函数/评价指标，再按每问逐步建模。第一问通常给出主要建模入口：附件1是同一生产批次电池出厂时以不同电流强度放电测试的完整放电曲线的采样数据。请根据附件1用初等函数表示各放电曲线，并分别给出各放电曲线的平均相对误差（MRE，定义见附件1）。如果在新电池使用中，分别以30A、40A、50A、60A和70A,3,微分方程与动力系统(CH2)；数据处理与拟合(CH6)；评价与决策模型(CH7)；时间序列模型(CH8),cumcm/problems/2016/C.md,cumcm/solutions/2016/C/solution.py,cumcm/results/2016/C/result.json,cumcm/reports/2016/C/report.md
2016,D,2016-D,2016年 CUMCM D题：风电场运行状况分析及优化,本题核心是把 `2016年 CUMCM D题：风电场运行状况分析及优化` 的业务场景转化为可计算的数学模型，重点围绕 规划优化模型、几何与方程模型、数据处理与拟合 展开；起手应先梳理变量、约束、目标函数/评价指标，再按每问逐步建模。第一问通常给出主要建模入口：附件1给出了该风电场一年内每隔15分钟的各风机安装处的平均风速和风电场日实际输出功率。试利用这些数据对该风电场的风能资源及其利用情况进行评估。,3,规划优化模型(CH3)；评价与决策模型(CH7)；几何与方程模型(CH1)；数据处理与拟合(CH6),cumcm/problems/2016/D.md,cumcm/solutions/2016/D/solution.py,cumcm/results/2016/D/result.json,cumcm/reports/2016/D/report.md
2017,A,2017-A,2017年 CUMCM A题：CT系统参数标定及成像,本题核心是把 `2017年 CUMCM A题：CT系统参数标定及成像` 的业务场景转化为可计算的数学模型，重点围绕 几何与方程模型、微分方程与动力系统、规划优化模型 展开；起手应先梳理变量、约束、目标函数/评价指标，再按每问逐步建模。第一问通常给出主要建模入口：在正方形托盘上放置两个均匀固体介质组成的标定模板，模板的几何信息如图2所示，相应的数据文件见附件1，其中每一点的数值反映了该点的吸收强度，这里称为“吸收率”。对应于该模板的接收信息见附件2。请根据这一模板及其接收信息，确定CT系统旋转中心在,5,微分方程与动力系统(CH2)；几何与方程模型(CH1)；规划优化模型(CH3)；数据处理与拟合(CH6),cumcm/problems/2017/A.md,cumcm/solutions/2017/A/solution.py,cumcm/results/2017/A/result.json,cumcm/reports/2017/A/report.md
2017,B,2017-B,2017年 CUMCM B题：拍照赚钱”的任务定价,本题核心是把 `2017年 CUMCM B题：拍照赚钱”的任务定价` 的业务场景转化为可计算的数学模型，重点围绕 规划优化模型、评价与决策模型、图论与复杂网络 展开；起手应先梳理变量、约束、目标函数/评价指标，再按每问逐步建模。第一问通常给出主要建模入口：附件二是会员信息数据，包含了会员的位置、信誉值、参考其信誉给出的任务开始预订时间和预订限额，原则上会员信誉越高，越优先开始挑选任务，其配额也就越大（任务分配时实际上是根据预订限额所占比例进行配发）,5,规划优化模型(CH3)；评价与决策模型(CH7)；图论与复杂网络(CH4)；数据处理与拟合(CH6),cumcm/problems/2017/B.md,cumcm/solutions/2017/B/solution.py,cumcm/results/2017/B/result.json,cumcm/reports/2017/B/report.md
2017,C,2017-C,2017年 CUMCM C题：颜色与物质浓度辨识,本题核心是把 `2017年 CUMCM C题：颜色与物质浓度辨识` 的业务场景转化为可计算的数学模型，重点围绕 数据处理与拟合、评价与决策模型、机器学习与统计 展开；起手应先梳理变量、约束、目标函数/评价指标，再按每问逐步建模。第一问通常给出主要建模入口：附件Data1.xls中分别给出了5种物质在不同浓度下的颜色读数，讨论从这5组数据中能否确定颜色读数和物质浓度之间的关系，并给出一些准则来评价这5组数据的优劣,2,评价与决策模型(CH7)；机器学习与统计(CH9)；数据处理与拟合(CH6)；规划优化模型(CH3),cumcm/problems/2017/C.md,cumcm/solutions/2017/C/solution.py,cumcm/results/2017/C/result.json,cumcm/reports/2017/C/report.md
2017,D,2017-D,2017年 CUMCM D题：巡检线路的排班,本题核心是把 `2017年 CUMCM D题：巡检线路的排班` 的业务场景转化为可计算的数学模型，重点围绕 规划优化模型、图论与复杂网络 展开；起手应先梳理变量、约束、目标函数/评价指标，再按每问逐步建模。第一问通常给出主要建模入口：如果采用固定上班时间，不考虑巡检人员的休息时间，采用每天三班倒，每班工作8小时左右，每班需要多少人，巡检线路如何安排，并给出巡检人员的巡检线路和巡检的时间表。,3,规划优化模型(CH3)；图论与复杂网络(CH4)；数据处理与拟合(CH6)；评价与决策模型(CH7),cumcm/problems/2017/D.md,cumcm/solutions/2017/D/solution.py,cumcm/results/2017/D/result.json,cumcm/reports/2017/D/report.md
2018,A,2018-A,2018年 CUMCM A题：高温作业专用服装设计,本题核心是把 `2018年 CUMCM A题：高温作业专用服装设计` 的业务场景转化为可计算的数学模型，重点围绕 规划优化模型、微分方程与动力系统 展开；起手应先梳理变量、约束、目标函数/评价指标，再按每问逐步建模。第一问通常给出主要建模入口：当环境温度为65ºC、IV层的厚度为5.5 mm时，确定II层的最优厚度，确保工作60分钟时，假人皮肤外侧温度不超过47ºC，且超过44ºC的时间不超过5分钟。,2,微分方程与动力系统(CH2)；规划优化模型(CH3)；评价与决策模型(CH7)；数据处理与拟合(CH6),cumcm/problems/2018/A.md,cumcm/solutions/2018/A/solution.py,cumcm/results/2018/A/result.json,cumcm/reports/2018/A/report.md
2018,B,2018-B,2018年 CUMCM B题：赛题,本题核心是把 `2018年 CUMCM B题：赛题` 的业务场景转化为可计算的数学模型，重点围绕 几何与方程模型、微分方程与动力系统、规划优化模型 展开；起手应先梳理变量、约束、目标函数/评价指标，再按每问逐步建模。第一问通常给出主要建模入口：一道工序的物料加工作业情况，每台CNC安装同样的刀具，物料可以在任一台CNC上加工完成；,3,微分方程与动力系统(CH2)；几何与方程模型(CH1)；规划优化模型(CH3)；数据处理与拟合(CH6),cumcm/problems/2018/B.md,cumcm/solutions/2018/B/solution.py,cumcm/results/2018/B/result.json,cumcm/reports/2018/B/report.md
2018,C,2018-C,2018年 CUMCM C题：大型百货商场会员画像描绘,本题核心是把 `2018年 CUMCM C题：大型百货商场会员画像描绘` 的业务场景转化为可计算的数学模型，重点围绕 规划优化模型、机器学习与统计、数据处理与拟合 展开；起手应先梳理变量、约束、目标函数/评价指标，再按每问逐步建模。第一问通常给出主要建模入口：分析该商场会员的消费特征，比较会员与非会员群体的差异，并说明会员群体给商场带来的价值。,5,规划优化模型(CH3)；评价与决策模型(CH7)；机器学习与统计(CH9)；数据处理与拟合(CH6),cumcm/problems/2018/C.md,cumcm/solutions/2018/C/solution.py,cumcm/results/2018/C/result.json,cumcm/reports/2018/C/report.md
2018,D,2018-D,2018年 CUMCM D题：汽车总装线的配置,本题核心是把 `2018年 CUMCM D题：汽车总装线的配置` 的业务场景转化为可计算的数学模型，重点围绕 规划优化模型、微分方程与动力系统、数据处理与拟合 展开；起手应先梳理变量、约束、目标函数/评价指标，再按每问逐步建模。第一问通常给出主要建模入口：问题背景 某汽车公司生产多种型号的汽车，每种型号由品牌、配置、动力、驱动、颜色5种属性确定。品牌分为A1和A2两种，配置分为B1、B2、B3、B4、B5和B6六种，动力分为汽油和柴油2种，驱动分为两驱和四驱2种，颜色分为黑、白、蓝、黄、红、,8,规划优化模型(CH3)；微分方程与动力系统(CH2)；数据处理与拟合(CH6)；评价与决策模型(CH7),cumcm/problems/2018/D.md,cumcm/solutions/2018/D/solution.py,cumcm/results/2018/D/result.json,cumcm/reports/2018/D/report.md
2019,A,2019-A,2019年 CUMCM A题：高压油管的压力控制,本题核心是把 `2019年 CUMCM A题：高压油管的压力控制` 的业务场景转化为可计算的数学模型，重点围绕 微分方程与动力系统、几何与方程模型、规划优化模型 展开；起手应先梳理变量、约束、目标函数/评价指标，再按每问逐步建模。第一问通常给出主要建模入口：某型号高压油管的内腔长度为500mm，内直径为10mm，供油入口A处小孔的直径为1.4mm，通过单向阀开关控制供油时间的长短，单向阀每打开一次后就要关闭10ms。喷油器每秒工作10次，每次工作时喷油时间为2.4ms，喷油器工作时从喷油嘴B处,3,微分方程与动力系统(CH2)；数据处理与拟合(CH6)；几何与方程模型(CH1)；规划优化模型(CH3),cumcm/problems/2019/A.md,cumcm/solutions/2019/A/solution.py,cumcm/results/2019/A/result.json,cumcm/reports/2019/A/report.md
2019,B,2019-B,2019年 CUMCM B题：同心协力”策略研究,本题核心是把 `2019年 CUMCM B题：同心协力”策略研究` 的业务场景转化为可计算的数学模型，重点围绕 几何与方程模型、评价与决策模型 展开；起手应先梳理变量、约束、目标函数/评价指标，再按每问逐步建模。第一问通常给出主要建模入口：在理想状态下，每个人都可以精确控制用力方向、时机和力度，试讨论 这种情形下团队的最佳协作策略，并给出该策略下的颠球高度。,4,评价与决策模型(CH7)；几何与方程模型(CH1)；规划优化模型(CH3)；数据处理与拟合(CH6),cumcm/problems/2019/B.md,cumcm/solutions/2019/B/solution.py,cumcm/results/2019/B/result.json,cumcm/reports/2019/B/report.md
2019,C,2019-C,2019年 CUMCM C题：赛题,本题核心是把 `2019年 CUMCM C题：赛题` 的业务场景转化为可计算的数学模型，重点围绕 规划优化模型、评价与决策模型、微分方程与动力系统 展开；起手应先梳理变量、约束、目标函数/评价指标，再按每问逐步建模。第一问通常给出主要建模入口：分析研究与出租车司机决策相关因素的影响机理，综合考虑机场乘客数量的变化规律和出租车司机的收益，建立出租车司机选择决策模型，并给出司机的选择策略。,4,评价与决策模型(CH7)；规划优化模型(CH3)；微分方程与动力系统(CH2)；数据处理与拟合(CH6),cumcm/problems/2019/C.md,cumcm/solutions/2019/C/solution.py,cumcm/results/2019/C/result.json,cumcm/reports/2019/C/report.md
2019,D,2019-D,2019年 CUMCM D题：空气质量数据的校准,本题核心是把 `2019年 CUMCM D题：空气质量数据的校准` 的业务场景转化为可计算的数学模型，重点围绕 数据处理与拟合、微分方程与动力系统、机器学习与统计 展开；起手应先梳理变量、约束、目标函数/评价指标，再按每问逐步建模。第一问通常给出主要建模入口：对自建点数据与国控点数据进行探索性数据分析。,3,微分方程与动力系统(CH2)；数据处理与拟合(CH6)；机器学习与统计(CH9)；评价与决策模型(CH7),cumcm/problems/2019/D.md,cumcm/solutions/2019/D/solution.py,cumcm/results/2019/D/result.json,cumcm/reports/2019/D/report.md
2019,E,2019-E,2019年 CUMCM E题：薄利多销”分析,本题核心是把 `2019年 CUMCM E题：薄利多销”分析` 的业务场景转化为可计算的数学模型，重点围绕 规划优化模型、数据处理与拟合、评价与决策模型 展开；起手应先梳理变量、约束、目标函数/评价指标，再按每问逐步建模。第一问通常给出主要建模入口：计算该商场从2016年11月30日到2019年1月2日每天的营业额和利润率（注意：由于未知原因，数据中非打折商品的成本价缺失。一般情况下，零售商的利润率在20%-40%之间),3,规划优化模型(CH3)；评价与决策模型(CH7)；数据处理与拟合(CH6)；图像文本与信号(CH10),cumcm/problems/2019/E.md,cumcm/solutions/2019/E/solution.py,cumcm/results/2019/E/result.json,cumcm/reports/2019/E/report.md
2020,A,2020-A,2020年 CUMCM A题：炉温曲线,本题核心是把 `2020年 CUMCM A题：炉温曲线` 的业务场景转化为可计算的数学模型，重点围绕 微分方程与动力系统、数据处理与拟合、规划优化模型 展开；起手应先梳理变量、约束、目标函数/评价指标，再按每问逐步建模。第一问通常给出主要建模入口：请对焊接区域的温度变化规律建立数学模型。假设传送带过炉速度为78 cm/min，各温区温度的设定值分别为173ºC（小温区1~5）、198ºC（小温区6）、230ºC（小温区7）和257ºC（小温区8~9），请给出焊接区域中心的温度变化情况,4,微分方程与动力系统(CH2)；数据处理与拟合(CH6)；规划优化模型(CH3)；评价与决策模型(CH7),cumcm/problems/2020/A.md,cumcm/solutions/2020/A/solution.py,cumcm/results/2020/A/result.json,cumcm/reports/2020/A/report.md
2020,B,2020-B,2020年 CUMCM B题：穿越沙漠,本题核心是把 `2020年 CUMCM B题：穿越沙漠` 的业务场景转化为可计算的数学模型，重点围绕 规划优化模型、时间序列模型 展开；起手应先梳理变量、约束、目标函数/评价指标，再按每问逐步建模。第一问通常给出主要建模入口：以天为基本时间单位，游戏的开始时间为第0天，玩家位于起点。玩家必须在截止日期或之前到达终点，到达终点后该玩家的游戏结束。,13,规划优化模型(CH3)；时间序列模型(CH8)；数据处理与拟合(CH6)；评价与决策模型(CH7),cumcm/problems/2020/B.md,cumcm/solutions/2020/B/solution.py,cumcm/results/2020/B/result.json,cumcm/reports/2020/B/report.md
2020,C,2020-C,2020年 CUMCM C题：中小微企业的信贷决策,本题核心是把 `2020年 CUMCM C题：中小微企业的信贷决策` 的业务场景转化为可计算的数学模型，重点围绕 评价与决策模型、规划优化模型、数据处理与拟合 展开；起手应先梳理变量、约束、目标函数/评价指标，再按每问逐步建模。第一问通常给出主要建模入口：对附件1中123家企业的信贷风险进行量化分析，给出该银行在年度信贷总额固定时对这些企业的信贷策略。,10,评价与决策模型(CH7)；规划优化模型(CH3)；数据处理与拟合(CH6)；机器学习与统计(CH9),cumcm/problems/2020/C.md,cumcm/solutions/2020/C/solution.py,cumcm/results/2020/C/result.json,cumcm/reports/2020/C/report.md
2020,D,2020-D,2020年 CUMCM D题：接触式轮廓仪的自动标注,本题核心是把 `2020年 CUMCM D题：接触式轮廓仪的自动标注` 的业务场景转化为可计算的数学模型，重点围绕 几何与方程模型、数据处理与拟合、机器学习与统计 展开；起手应先梳理变量、约束、目标函数/评价指标，再按每问逐步建模。第一问通常给出主要建模入口：附件1中的表level是工件1在水平状态下的测量数据，其轮廓线如图4所示，请标注出轮廓线的各项参数值：槽口宽度（如等）、圆弧半径（如等）、圆心之间的距离（如等）、圆弧的长度、水平线段的长度（如等）、斜线线段的长度、斜线与水平线之间的夹角（如,4,几何与方程模型(CH1)；评价与决策模型(CH7)；机器学习与统计(CH9)；图像文本与信号(CH10),cumcm/problems/2020/D.md,cumcm/solutions/2020/D/solution.py,cumcm/results/2020/D/result.json,cumcm/reports/2020/D/report.md
