problem_id,year,code,question,question_index,question_label,method,solution_path,result_path,report_path,artifact_dir,real_solution_path
2016-F,2016,F,q02,02,六条路线容量约束难民流动模型,network_path_baseline,mcm/generic_baselines/solutions/2016/F/q02/solution.py,mcm/generic_baselines/results/2016/F/q02/result.json,mcm/generic_baselines/reports/2016/F/q02/report.md,mcm/generic_baselines/artifacts/2016/F/q02,question_solutions/2016/F/q02/solution.py
2016-F,2016,F,q03,03,动态容量、资源前置与资源优先级,first_order_dynamic_baseline,mcm/generic_baselines/solutions/2016/F/q03/solution.py,mcm/generic_baselines/results/2016/F/q03/result.json,mcm/generic_baselines/reports/2016/F/q03/report.md,mcm/generic_baselines/artifacts/2016/F/q03,question_solutions/2016/F/q03/solution.py
2016-F,2016,F,q04,04,政府与 NGO 协同策略,evidence_table_baseline,mcm/generic_baselines/solutions/2016/F/q04/solution.py,mcm/generic_baselines/results/2016/F/q04/result.json,mcm/generic_baselines/reports/2016/F/q04/report.md,mcm/generic_baselines/artifacts/2016/F/q04,question_solutions/2016/F/q04/solution.py
2016-F,2016,F,q05,05,Canada、China、United States 区域扩展,linear_weighted_score_baseline,mcm/generic_baselines/solutions/2016/F/q05/solution.py,mcm/generic_baselines/results/2016/F/q05/result.json,mcm/generic_baselines/reports/2016/F/q05/report.md,mcm/generic_baselines/artifacts/2016/F/q05,question_solutions/2016/F/q05/solution.py
2016-F,2016,F,q06,06,支持最优迁移模式的政策包与 UN 信件,resource_allocation_baseline,mcm/generic_baselines/solutions/2016/F/q06/solution.py,mcm/generic_baselines/results/2016/F/q06/result.json,mcm/generic_baselines/reports/2016/F/q06/report.md,mcm/generic_baselines/artifacts/2016/F/q06,question_solutions/2016/F/q06/solution.py
2016-F,2016,F,q07,07,外生事件下会改变的模型参数,first_order_dynamic_baseline,mcm/generic_baselines/solutions/2016/F/q07/solution.py,mcm/generic_baselines/results/2016/F/q07/result.json,mcm/generic_baselines/reports/2016/F/q07/report.md,mcm/generic_baselines/artifacts/2016/F/q07,question_solutions/2016/F/q07/solution.py
2016-F,2016,F,q08,08,邻国难民流动级联效应,network_path_baseline,mcm/generic_baselines/solutions/2016/F/q08/solution.py,mcm/generic_baselines/results/2016/F/q08/result.json,mcm/generic_baselines/reports/2016/F/q08/report.md,mcm/generic_baselines/artifacts/2016/F/q08,question_solutions/2016/F/q08/solution.py
2016-F,2016,F,q09,09,面向外生事件的韧性移民政策,network_path_baseline,mcm/generic_baselines/solutions/2016/F/q09/solution.py,mcm/generic_baselines/results/2016/F/q09/result.json,mcm/generic_baselines/reports/2016/F/q09/report.md,mcm/generic_baselines/artifacts/2016/F/q09,question_solutions/2016/F/q09/solution.py
2016-F,2016,F,q10,10,10 倍危机规模下不可扩展特征,network_path_baseline,mcm/generic_baselines/solutions/2016/F/q10/solution.py,mcm/generic_baselines/results/2016/F/q10/result.json,mcm/generic_baselines/reports/2016/F/q10/report.md,mcm/generic_baselines/artifacts/2016/F/q10,question_solutions/2016/F/q10/solution.py
2016-F,2016,F,q11,11,规模急剧增加时改变或失效的参数,network_path_baseline,mcm/generic_baselines/solutions/2016/F/q11/solution.py,mcm/generic_baselines/results/2016/F/q11/result.json,mcm/generic_baselines/reports/2016/F/q11/report.md,mcm/generic_baselines/artifacts/2016/F/q11,question_solutions/2016/F/q11/solution.py
2016-F,2016,F,q12,12,新增长期健康安全参数与时间阈值,first_order_dynamic_baseline,mcm/generic_baselines/solutions/2016/F/q12/solution.py,mcm/generic_baselines/results/2016/F/q12/result.json,mcm/generic_baselines/reports/2016/F/q12/report.md,mcm/generic_baselines/artifacts/2016/F/q12,question_solutions/2016/F/q12/solution.py
2016-E,2016,E,q01,01,清洁水供给能力模型,linear_weighted_score_baseline,mcm/generic_baselines/solutions/2016/E/q01/solution.py,mcm/generic_baselines/results/2016/E/q01/result.json,mcm/generic_baselines/reports/2016/E/q01/report.md,mcm/generic_baselines/artifacts/2016/E/q01,question_solutions/2016/E/q01/solution.py
2016-E,2016,E,q02,02,选择超载地区并解释缺水驱动因素,linear_weighted_score_baseline,mcm/generic_baselines/solutions/2016/E/q02/solution.py,mcm/generic_baselines/results/2016/E/q02/result.json,mcm/generic_baselines/reports/2016/E/q02/report.md,mcm/generic_baselines/artifacts/2016/E/q02,question_solutions/2016/E/q02/solution.py
2016-E,2016,E,q03,03,15 年无干预水资源预测与居民影响,linear_trend_forecast_baseline,mcm/generic_baselines/solutions/2016/E/q03/solution.py,mcm/generic_baselines/results/2016/E/q03/result.json,mcm/generic_baselines/reports/2016/E/q03/report.md,mcm/generic_baselines/artifacts/2016/E/q03,question_solutions/2016/E/q03/solution.py
2016-E,2016,E,q04,04,覆盖所有缺水驱动因素的干预计划,resource_allocation_baseline,mcm/generic_baselines/solutions/2016/E/q04/solution.py,mcm/generic_baselines/results/2016/E/q04/result.json,mcm/generic_baselines/reports/2016/E/q04/report.md,mcm/generic_baselines/artifacts/2016/E/q04,question_solutions/2016/E/q04/solution.py
2016-E,2016,E,q05,05,有干预水资源预测与关键问题判断,linear_trend_forecast_baseline,mcm/generic_baselines/solutions/2016/E/q05/solution.py,mcm/generic_baselines/results/2016/E/q05/result.json,mcm/generic_baselines/reports/2016/E/q05/report.md,mcm/generic_baselines/artifacts/2016/E/q05,question_solutions/2016/E/q05/solution.py
2016-E,2016,E,q06,06,20 页报告与 ICM 清洁水任务建议,report_outline_baseline,mcm/generic_baselines/solutions/2016/E/q06/solution.py,mcm/generic_baselines/results/2016/E/q06/result.json,mcm/generic_baselines/reports/2016/E/q06/report.md,mcm/generic_baselines/artifacts/2016/E/q06,question_solutions/2016/E/q06/solution.py
2016-C,2016,C,q01,01,Goodgrant 慈善 ROI 定义与候选学校评分,linear_weighted_score_baseline,mcm/generic_baselines/solutions/2016/C/q01/solution.py,mcm/generic_baselines/results/2016/C/q01/result.json,mcm/generic_baselines/reports/2016/C/q01/report.md,mcm/generic_baselines/artifacts/2016/C/q01,question_solutions/2016/C/q01/solution.py
2016-C,2016,C,q02,02,1 亿美元年度预算的优先资助组合,linear_weighted_score_baseline,mcm/generic_baselines/solutions/2016/C/q02/solution.py,mcm/generic_baselines/results/2016/C/q02/result.json,mcm/generic_baselines/reports/2016/C/q02/report.md,mcm/generic_baselines/artifacts/2016/C/q02,question_solutions/2016/C/q02/solution.py
2016-C,2016,C,q03,03,ROI 权重稳健性与未来更新,linear_trend_forecast_baseline,mcm/generic_baselines/solutions/2016/C/q03/solution.py,mcm/generic_baselines/results/2016/C/q03/result.json,mcm/generic_baselines/reports/2016/C/q03/report.md,mcm/generic_baselines/artifacts/2016/C/q03,question_solutions/2016/C/q03/solution.py
2016-C,2016,C,q04,04,给 CFO Alpha Chiang 的两页以内信,report_outline_baseline,mcm/generic_baselines/solutions/2016/C/q04/solution.py,mcm/generic_baselines/results/2016/C/q04/result.json,mcm/generic_baselines/reports/2016/C/q04/report.md,mcm/generic_baselines/artifacts/2016/C/q04,question_solutions/2016/C/q04/solution.py
2017-A,2017,A,q01,01,Kariba 三方案成本收益简评,linear_weighted_score_baseline,mcm/generic_baselines/solutions/2017/A/q01/solution.py,mcm/generic_baselines/results/2017/A/q01/result.json,mcm/generic_baselines/reports/2017/A/q01/report.md,mcm/generic_baselines/artifacts/2017/A/q01,question_solutions/2017/A/q01/solution.py
2017-A,2017,A,q02,02,10-20 座小坝数量与坝址推荐,resource_allocation_baseline,mcm/generic_baselines/solutions/2017/A/q02/solution.py,mcm/generic_baselines/results/2017/A/q02/result.json,mcm/generic_baselines/reports/2017/A/q02/report.md,mcm/generic_baselines/artifacts/2017/A/q02,question_solutions/2017/A/q02/solution.py
2017-A,2017,A,q03,03,多坝系统正常水文周期调度策略,resource_allocation_baseline,mcm/generic_baselines/solutions/2017/A/q03/solution.py,mcm/generic_baselines/results/2017/A/q03/result.json,mcm/generic_baselines/reports/2017/A/q03/report.md,mcm/generic_baselines/artifacts/2017/A/q03,question_solutions/2017/A/q03/solution.py
2017-A,2017,A,q04,04,洪水与长期低水位极端流量指导,network_path_baseline,mcm/generic_baselines/solutions/2017/A/q04/solution.py,mcm/generic_baselines/results/2017/A/q04/result.json,mcm/generic_baselines/reports/2017/A/q04/report.md,mcm/generic_baselines/artifacts/2017/A/q04,question_solutions/2017/A/q04/solution.py
2017-A,2017,A,q05,05,极端条件暴露区域与时长限制,threshold_classification_baseline,mcm/generic_baselines/solutions/2017/A/q05/solution.py,mcm/generic_baselines/results/2017/A/q05/result.json,mcm/generic_baselines/reports/2017/A/q05/report.md,mcm/generic_baselines/artifacts/2017/A/q05,question_solutions/2017/A/q05/solution.py
2017-A,2017,A,q06,06,ZRA 摘要报告与推荐策略,report_outline_baseline,mcm/generic_baselines/solutions/2017/A/q06/solution.py,mcm/generic_baselines/results/2017/A/q06/result.json,mcm/generic_baselines/reports/2017/A/q06/report.md,mcm/generic_baselines/artifacts/2017/A/q06,question_solutions/2017/A/q06/solution.py
2017-B,2017,B,q01,01,收费亭后 8 到 3 车道并道几何,resource_allocation_baseline,mcm/generic_baselines/solutions/2017/B/q01/solution.py,mcm/generic_baselines/results/2017/B/q01/result.json,mcm/generic_baselines/reports/2017/B/q01/report.md,mcm/generic_baselines/artifacts/2017/B/q01,question_solutions/2017/B/q01/solution.py
2017-B,2017,B,q02,02,轻交通与重交通吞吐性能,evidence_table_baseline,mcm/generic_baselines/solutions/2017/B/q02/solution.py,mcm/generic_baselines/results/2017/B/q02/result.json,mcm/generic_baselines/reports/2017/B/q02/report.md,mcm/generic_baselines/artifacts/2017/B/q02,question_solutions/2017/B/q02/solution.py
2017-B,2017,B,q03,03,自动驾驶车辆比例敏感性,first_order_dynamic_baseline,mcm/generic_baselines/solutions/2017/B/q03/solution.py,mcm/generic_baselines/results/2017/B/q03/result.json,mcm/generic_baselines/reports/2017/B/q03/report.md,mcm/generic_baselines/artifacts/2017/B/q03,question_solutions/2017/B/q03/solution.py
2017-B,2017,B,q04,04,收费亭类型比例敏感性与 NJTA 信,first_order_dynamic_baseline,mcm/generic_baselines/solutions/2017/B/q04/solution.py,mcm/generic_baselines/results/2017/B/q04/result.json,mcm/generic_baselines/reports/2017/B/q04/report.md,mcm/generic_baselines/artifacts/2017/B/q04,question_solutions/2017/B/q04/solution.py
2017-C,2017,C,q01,01,官方路网画像与交通流模型,network_path_baseline,mcm/generic_baselines/solutions/2017/C/q01/solution.py,mcm/generic_baselines/results/2017/C/q01/result.json,mcm/generic_baselines/reports/2017/C/q01/report.md,mcm/generic_baselines/artifacts/2017/C/q01,question_solutions/2017/C/q01/solution.py
2017-C,2017,C,q02,02,10%/50%/90% 自动驾驶渗透率情景,first_order_dynamic_baseline,mcm/generic_baselines/solutions/2017/C/q02/solution.py,mcm/generic_baselines/results/2017/C/q02/result.json,mcm/generic_baselines/reports/2017/C/q02/report.md,mcm/generic_baselines/artifacts/2017/C/q02,question_solutions/2017/C/q02/solution.py
2017-C,2017,C,q03,03,均衡与性能突变临界点,linear_weighted_score_baseline,mcm/generic_baselines/solutions/2017/C/q03/solution.py,mcm/generic_baselines/results/2017/C/q03/result.json,mcm/generic_baselines/reports/2017/C/q03/report.md,mcm/generic_baselines/artifacts/2017/C/q03,question_solutions/2017/C/q03/solution.py
2017-C,2017,C,q04,04,自动驾驶专用车道条件与政策,resource_allocation_baseline,mcm/generic_baselines/solutions/2017/C/q04/solution.py,mcm/generic_baselines/results/2017/C/q04/result.json,mcm/generic_baselines/reports/2017/C/q04/report.md,mcm/generic_baselines/artifacts/2017/C/q04,question_solutions/2017/C/q04/solution.py
2017-C,2017,C,q05,05,给 Washington Governor 的建议信,report_outline_baseline,mcm/generic_baselines/solutions/2017/C/q05/solution.py,mcm/generic_baselines/results/2017/C/q05/result.json,mcm/generic_baselines/reports/2017/C/q05/report.md,mcm/generic_baselines/artifacts/2017/C/q05,question_solutions/2017/C/q05/solution.py
2017-D,2017,D,q01,01,安检流程排队模型与瓶颈识别,network_path_baseline,mcm/generic_baselines/solutions/2017/D/q01/solution.py,mcm/generic_baselines/results/2017/D/q01/result.json,mcm/generic_baselines/reports/2017/D/q01/report.md,mcm/generic_baselines/artifacts/2017/D/q01,question_solutions/2017/D/q01/solution.py
2017-D,2017,D,q02,02,两类以上流程修改实验,linear_weighted_score_baseline,mcm/generic_baselines/solutions/2017/D/q02/solution.py,mcm/generic_baselines/results/2017/D/q02/result.json,mcm/generic_baselines/reports/2017/D/q02/report.md,mcm/generic_baselines/artifacts/2017/D/q02,question_solutions/2017/D/q02/solution.py
2017-D,2017,D,q03,03,文化规范与旅客风格敏感性,first_order_dynamic_baseline,mcm/generic_baselines/solutions/2017/D/q03/solution.py,mcm/generic_baselines/results/2017/D/q03/result.json,mcm/generic_baselines/reports/2017/D/q03/report.md,mcm/generic_baselines/artifacts/2017/D/q03,question_solutions/2017/D/q03/solution.py
2017-D,2017,D,q04,04,安全经理政策建议、验证和未来工作,report_outline_baseline,mcm/generic_baselines/solutions/2017/D/q04/solution.py,mcm/generic_baselines/results/2017/D/q04/result.json,mcm/generic_baselines/reports/2017/D/q04/report.md,mcm/generic_baselines/artifacts/2017/D/q04,question_solutions/2017/D/q04/solution.py
2018-C,2018,C,q01,01,四州能源画像与清洁可再生定义,linear_weighted_score_baseline,mcm/generic_baselines/solutions/2018/C/q01/solution.py,mcm/generic_baselines/results/2018/C/q01/result.json,mcm/generic_baselines/reports/2018/C/q01/report.md,mcm/generic_baselines/artifacts/2018/C/q01,question_solutions/2018/C/q01/solution.py
2018-C,2018,C,q02,02,1960-2009 能源结构演化,first_order_dynamic_baseline,mcm/generic_baselines/solutions/2018/C/q02/solution.py,mcm/generic_baselines/results/2018/C/q02/result.json,mcm/generic_baselines/reports/2018/C/q02/report.md,mcm/generic_baselines/artifacts/2018/C/q02,question_solutions/2018/C/q02/solution.py
2018-C,2018,C,q03,03,2009 最佳能源画像州识别,linear_weighted_score_baseline,mcm/generic_baselines/solutions/2018/C/q03/solution.py,mcm/generic_baselines/results/2018/C/q03/result.json,mcm/generic_baselines/reports/2018/C/q03/report.md,mcm/generic_baselines/artifacts/2018/C/q03,question_solutions/2018/C/q03/solution.py
2018-C,2018,C,q04,04,无政策变化下 2025/2050 基线预测,linear_trend_forecast_baseline,mcm/generic_baselines/solutions/2018/C/q04/solution.py,mcm/generic_baselines/results/2018/C/q04/result.json,mcm/generic_baselines/reports/2018/C/q04/report.md,mcm/generic_baselines/artifacts/2018/C/q04,question_solutions/2018/C/q04/solution.py
2018-C,2018,C,q05,05,四州能源 compact 目标与行动,linear_trend_forecast_baseline,mcm/generic_baselines/solutions/2018/C/q05/solution.py,mcm/generic_baselines/results/2018/C/q05/result.json,mcm/generic_baselines/reports/2018/C/q05/report.md,mcm/generic_baselines/artifacts/2018/C/q05,question_solutions/2018/C/q05/solution.py
2018-C,2018,C,q06,06,给四州州长的能源政策备忘录,report_outline_baseline,mcm/generic_baselines/solutions/2018/C/q06/solution.py,mcm/generic_baselines/results/2018/C/q06/result.json,mcm/generic_baselines/reports/2018/C/q06/report.md,mcm/generic_baselines/artifacts/2018/C/q06,question_solutions/2018/C/q06/solution.py
2019-A,2019,A,q01,01,龙的生态影响与栖息要求,linear_weighted_score_baseline,mcm/generic_baselines/solutions/2019/A/q01/solution.py,mcm/generic_baselines/results/2019/A/q01/result.json,mcm/generic_baselines/reports/2019/A/q01/report.md,mcm/generic_baselines/artifacts/2019/A/q01,question_solutions/2019/A/q01/solution.py
2019-A,2019,A,q02,02,龙的能量消耗与热量摄入,resource_allocation_baseline,mcm/generic_baselines/solutions/2019/A/q02/solution.py,mcm/generic_baselines/results/2019/A/q02/result.json,mcm/generic_baselines/reports/2019/A/q02/report.md,mcm/generic_baselines/artifacts/2019/A/q02,question_solutions/2019/A/q02/solution.py
2019-A,2019,A,q03,03,支撑三条龙所需面积,evidence_table_baseline,mcm/generic_baselines/solutions/2019/A/q03/solution.py,mcm/generic_baselines/results/2019/A/q03/result.json,mcm/generic_baselines/reports/2019/A/q03/report.md,mcm/generic_baselines/artifacts/2019/A/q03,question_solutions/2019/A/q03/solution.py
2019-A,2019,A,q04,04,不同援助水平下的人类社区规模,evidence_table_baseline,mcm/generic_baselines/solutions/2019/A/q04/solution.py,mcm/generic_baselines/results/2019/A/q04/result.json,mcm/generic_baselines/reports/2019/A/q04/report.md,mcm/generic_baselines/artifacts/2019/A/q04,question_solutions/2019/A/q04/solution.py
2019-A,2019,A,q05,05,气候条件重要性,first_order_dynamic_baseline,mcm/generic_baselines/solutions/2019/A/q05/solution.py,mcm/generic_baselines/results/2019/A/q05/result.json,mcm/generic_baselines/reports/2019/A/q05/report.md,mcm/generic_baselines/artifacts/2019/A/q05,question_solutions/2019/A/q05/solution.py
2019-A,2019,A,q06,06,干旱、暖温带与北极迁移差异,first_order_dynamic_baseline,mcm/generic_baselines/solutions/2019/A/q06/solution.py,mcm/generic_baselines/results/2019/A/q06/result.json,mcm/generic_baselines/reports/2019/A/q06/report.md,mcm/generic_baselines/artifacts/2019/A/q06,question_solutions/2019/A/q06/solution.py
2019-A,2019,A,q07,07,给 George R.R. Martin 的信与现实类比,report_outline_baseline,mcm/generic_baselines/solutions/2019/A/q07/solution.py,mcm/generic_baselines/results/2019/A/q07/result.json,mcm/generic_baselines/reports/2019/A/q07/report.md,mcm/generic_baselines/artifacts/2019/A/q07,question_solutions/2019/A/q07/solution.py
2019-B,2019,B,q01,01,DroneGo 波多黎各灾害响应系统,network_path_baseline,mcm/generic_baselines/solutions/2019/B/q01/solution.py,mcm/generic_baselines/results/2019/B/q01/result.json,mcm/generic_baselines/reports/2019/B/q01/report.md,mcm/generic_baselines/artifacts/2019/B/q01,question_solutions/2019/B/q01/solution.py
2019-B,2019,B,q02,02,机队、医疗包与 ISO 集装箱装载,network_path_baseline,mcm/generic_baselines/solutions/2019/B/q02/solution.py,mcm/generic_baselines/results/2019/B/q02/result.json,mcm/generic_baselines/reports/2019/B/q02/report.md,mcm/generic_baselines/artifacts/2019/B/q02,question_solutions/2019/B/q02/solution.py
2019-B,2019,B,q03,03,一到三个集装箱的最佳布置位置,network_path_baseline,mcm/generic_baselines/solutions/2019/B/q03/solution.py,mcm/generic_baselines/results/2019/B/q03/result.json,mcm/generic_baselines/reports/2019/B/q03/report.md,mcm/generic_baselines/artifacts/2019/B/q03,question_solutions/2019/B/q03/solution.py
2019-B,2019,B,q04,04,各类无人机任务配置,network_path_baseline,mcm/generic_baselines/solutions/2019/B/q04/solution.py,mcm/generic_baselines/results/2019/B/q04/result.json,mcm/generic_baselines/reports/2019/B/q04/report.md,mcm/generic_baselines/artifacts/2019/B/q04,question_solutions/2019/B/q04/solution.py
2019-B,2019,B,q05,05,医疗包载荷、路线与日程,network_path_baseline,mcm/generic_baselines/solutions/2019/B/q05/solution.py,mcm/generic_baselines/results/2019/B/q05/result.json,mcm/generic_baselines/reports/2019/B/q05/report.md,mcm/generic_baselines/artifacts/2019/B/q05,question_solutions/2019/B/q05/solution.py
2019-B,2019,B,q06,06,道路网络视频侦察飞行计划,network_path_baseline,mcm/generic_baselines/solutions/2019/B/q06/solution.py,mcm/generic_baselines/results/2019/B/q06/result.json,mcm/generic_baselines/reports/2019/B/q06/report.md,mcm/generic_baselines/artifacts/2019/B/q06,question_solutions/2019/B/q06/solution.py
